"issuekey","created","storypoint","context","codesnippet","t_Task","t_Story","t_Bug","t_New.Feature","c_Schema","c_CRUD","c_Real.Time.Server.Stats","c_UI...UX","c_Document.Validation","c_Stability","c_Query.Bar","c_First.Run","c_Connectivity","c_DDL","c_Performance","c_Research...Design","c_Plugins","c_Packaging","c_Navigation","c_Misc","c_Compass","c_Query","c_Electron","c_Auto.Updates","c_Export.to.Language","c_Aggregation.pipeline","c_Metrics","c_Grammar","c_Tech.debt","c_Intercom","c_Atlas","c_Telemetry.Data","c_Installation","c_CI","c_Language.Modes","c_Blog","c_schema.rs","c_Build","c_Favorites","c_Security","c_Explain","c_Webpack","c_React","c_Collection","c_Header","c_Sidebar","c_Views","c_Windows.Installer","c_Release","c_Maps","c_Import.Export"
"COMPASS-506","12/04/2016 03:36:55",3,"Clear recent connections list from connect view ""Or remove individual connections.""","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-632","01/11/2017 03:36:36",5,"Support collation on Create Database & Collection dialogs ""Introduced in MongoDB 3.4:  https://docs.mongodb.com/master/release-notes/3.4/#collation-and-case-insensitive-indexes    MongoChef claims full collation support which Compass cannot today:  http://3t.io/blog/what-is-new-in-mongochef-4-5/""","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-723","01/28/2017 10:39:28",1,"Increase ssh tunnel connection timeouts ""We have a user in intercom complaining that he gets ssh timeouts, when RoboMongo connects to the instance ok.   Currently, the timeout is [hardcoded to 5 seconds|https://github.com/mongodb-js/connection-model/blob/2002a3df39658665ac9d6713ace525bd35bb2dcb/lib/model.js#L703-L705] in the connection-model. Increase to 30 seconds to account for geo latency. ""","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-820","02/27/2017 06:10:10",3,"Static assets all live under ./static ""This will improve the Windows installation experience in two ways: 1. Installation assets to be decompressed before installation begins 2. Installation assets trigger less activity like to be disrupted by a virus scanner   - Make a new {{./static}} directory - Move {{./src/app/{images,styles}}} and HTML files into {{./static}} - Update all image references in the app and hadron-build to point at {{./static}} - Update hadron-build to write {{./src/compiled-less}} to{{./static}} - Add {{./static}} to the {{asar.upack}} option in {{hadron-build/commands/release.js}} (they don’t need to be packed)  Also consider updating any timing code to use [~lucas.hrabovsky] suggestion: https://github.com/nolanlawson/marky  h3. References   - [N1 ./static|https://github.com/nylas/N1/tree/master/static] - [N1’s bootloader.js|https://github.com/nylas/N1/blob/master/static/index.js] - [Atom ./static|https://github.com/atom/atom/tree/master/static] - [Atom’s advanced bootloader.js|https://github.com/atom/atom/blob/master/static/index.js]  If all goes well, this will negate https://jira.mongodb.org/browse/COMPASS-415""","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-851","03/06/2017 07:32:12",2,"Investigate Kerberos Authentication if the username contains @  ""From COMPASS-745, it looks like Kerberos and X.509 are also likely to double-encode their auth-component in the same way LDAP does.    This ticket should:    1. Confirm if this is true, e.g. with https://docs.mongodb.com/v3.2/tutorial/control-access-to-mongodb-with-kerberos-authentication/    2. If so, add a regression test in connection-model.  3. Remove all redundant {{encodeURIComponent}} calls, including in comments to make it clearer that {{url.format}} already handles this even better than we could ([git blame|https://github.com/nodejs/node/blame/v6.3.1/lib/url.js#L557] reveals it has been [optimised for more performance|https://github.com/nodejs/node/commit/db9128135f382e22202d900263e872d8b48f0050]).""","",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-909","03/14/2017 15:35:24",5,"Rename collection ""As the comments below indicate there are several feature requests to rename a collection. This can be achieved in the node driver by calling the [rename|http://mongodb.github.io/node-mongodb-native/2.2/api/Collection.html#rename] command on particular collection. The goal of this ticket is to add the UI element, probably an extra option in the sidebar next to ever collection field to edit and call the rename command on the selected collection.    Acceptance Criteria:  * add {{rename}} to data-service (https://github.com/mongodb-js/data-service)  * include unit tests for rename in data-service  * make UI element (On the sidebar) that can be clicked to produce a modal for renaming collection  * add enzyme tests for the above element  * add store action to rename collection that calls the above data-service method  * add unit tests for the above store action        ""","",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-931","03/20/2017 07:53:05",3,"Spike: Research if/how Compass can be ""kerberized"" ""Reported by Barclays (00430436).    When connecting to a Kerberos authenticated MongoDB deployment using Compass, we must supply the password from the Compass UI. Ideally, Compass should use the context of the logged in user and hence a password should not be needed unless a different context/user is needed to connect to the MongoDB deployment.    This is how """"kerberized"""" applications usually behave, and while the current implementation works, it's unusual and unexpected for users used to work in a kerberos environment.    ""","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-1014","04/07/2017 12:06:40",3,"Unable to Enter Line Breaks in Strings ""User reporting on Intercom that they are unable to create line breaks in Strings in the Documents tab. """"\n"""" is getting escaped and we already override the Enter key functionality. Need to allow \n or provide a CTRL+Enter or similar to allow line breaks.""","",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-1083","04/28/2017 17:58:30",3,"LUUID/NUUID/BinData support for filters ""Please see comments.""","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-1099","05/03/2017 19:01:09",8,"Move Databases DDL to External Plugin ""Move the databases-ddl internal package to the new compass-databases-ddl repo.    - Move all code from internal-packages/database-ddl to 10gen/compass-databases-ddl  - Use the khaos template to generate the plugin and make necessary changes to the template if problems arise.  - Move all databases-ddl tests from Compass to the compass-databases-ddl repo  - Add compass-databases-ddl to the compass-lite and compass-enterprise distribution configs in the package.json in Compass (for now)  - Remove internal-packages/databases-ddl""","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-1100","05/03/2017 19:07:22",8,"Move Database Plugin to External Plugin ""Move the database internal package to the new compass-collections-ddl repo.    - Move all code from internal-packages/database to 10gen/compass-collections-ddl  - Use the khaos template to generate the plugin and make necessary changes to the template if problems arise.  - Move all Database tests from Compass to the compass-collections-ddl repo  - Add compass-collections-ddl to the compass-lite and compass-enterprise distribution configs in the package.json in Compass (for now)  - Remove internal-packages/database""","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-1102","05/03/2017 19:39:30",5,"Move Explain to external package ""Move the explain internal package to the new compass-explain repo.    - Move all code from internal-packages/explain to 10gen/compass-explain  - Use the khaos template to generate the plugin and make necessary changes to the template if problems arise.  - Move all Validation tests from Compass to the compass-explain repo  - Add compass-explain to the compass-lite and compass-enterprise distribution configs in the package.json in Compass (for now)  - Remove internal-packages/explain""","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-1237","06/09/2017 17:03:49",8,"Add Installation Drive Destination Selection to Install Workflow on Windows ""A customer reported in [this coversation|https://app.intercom.io/a/apps/p57suhg7/respond/inbox/unassigned/conversations/10247108756] a desire to select to which drive Compass is installed. I then tested the workflow on a Windows 10 machine and was unable to select the drive to which I was installing.     I believe the ability to select the destination drive for the install to be a desirable addition to the workflow.""","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-1337","07/06/2017 08:58:47",3,"Make Doc Validation's Editable Component reusable across plugins ""Currently the Editable component resides in Doc Validation but it is a generic component that can be used throughout Compass.     It will be pulled over to Compass after COMPASS-1303 is done. The work remaining is:  - Remove the Editable component from [Doc Validation|https://github.com/10gen/compass-document-validation] and use the version from Compass via the appRegistry lifecycle methods  - Remove any !important flags in the {{editable.less}} file as it shouldn't be required anymore.    Acceptance criteria:  - Make sure Doc Validation UI remains the same  - Make sure Charts UI remains the same  ""","",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-1404","07/12/2017 18:18:58",3,"Hook into Server Description Changed Events ""Currently deployment awareness listens to only topology description changed events, which does not cover the case when connected to a standalone instance. If a standalone server goes into an unknown state, the topology type remains as single according to the SDAM specification even though the server description becomes unknown.    Therefore, we must also listen to these events when connected in standalone mode and fire the same changes as the existing topology related events.    - Change https://github.com/10gen/compass-deployment-awareness/blob/master/src/stores/index.js to also listen to 'serverDescriptionChanged` events and trigger with an overwritten 'unknown' state instead of keeping the same 'single' type. The read state and write state stores should handle this accordingly.""","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-1629","08/01/2017 18:55:26",3,"Cross-realm Kerberos Support ""From CS-26551. After a bit of initial investigation, imagine this breaking out into 3 tasks:    - COMPASS-1629: Spike: Research additional options needed to support cross-realm kerberos via the connect dialog  - Add additional Kerberos options to connect dialog  - Kerberos Cross-Realm testing backend setup    {quote}  Compass RC1 - Internal Server Error With (Cross Realm) Kerberos @ Connect Time    Debug Console Shows:      Note in the java driver we would have to do something along the following, would this be something that node driver can expose to compass?     {quote}""","  POST http://localhost:29017/api/v1/token 500 (Internal Server Error)Request.end @ client.js:1016Model.extend.create @ token.js:69(anonymous function) @ token.js:119Item.run @ browser.js:64drainQueue @ browser.js:34_super.bugsnag @ bugsnag.js:149(anonymous function) @ bugsnag.js:624  bugsnag.js:239 [Bugsnag] Invalid API key 'undefined'  bugsnag.js:239 [Bugsnag] Invalid API key 'undefined'            MongoCredential gssAPICred = MongoCredential                  .createGSSAPICredential(KERBEROS + """"@WINDOWSREALM.COM"""")                  .withMechanismProperty(""""REALM"""", """"LINUXREALM.COM"""")                  .withMechanismProperty(""""CANONICALIZE_HOST_NAME"""", true);  ",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-1735","08/15/2017 04:09:04",5,"Map Cmd-R (Ctrl-R) to reloading data only, Cmd-Shift-R app reload ""This request has been made many times, e.g. this intercom conversation:   https://app.intercom.io/a/apps/p57suhg7/respond/inbox/conversation/11245082354    Based on email discussion with Sam, Dana, Fred (see below), let's make the following changes:    Cmd-R (Ctrl-R on Windows/Linux) should reload data only. No app refresh.     Behavior:    - always trigger a reload of the sidebar, and  - if the user is on the instance level databases view: refresh the list of databases  - if the user is on the instance level RTSS view, reset the view  - if the user is on the database level collections view: refresh the list of collections  - if the user is on one of the collection level tabs, additionally execute the following action:  -- Documents tab: reload the documents (like the dedicated Refresh button)  -- Schema tab: execute a new schema sampling with the same query  -- Explain tab: execute a new explain plan with the same query  -- Indexes tab: refresh indexes  -- Document validation: reload validation rules       Cmd-Shift-R (Ctrl-Shift-R on Windows/Linux) should reload the app (behavior that is Cmd-R today).  ""","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-1764","08/18/2017 09:14:29",5,"Compass handles the crazy keys document series ""h4. Usage/steps to reproduce        Then navigate to the {{perf.crazy_keys}} collection in Compass.    An extended set of documents can be created and imported into MongoDB with this script relatively easily, on my local machine I already have the following numbers of keys and preliminary results:  32^3=32,768  48^3=110,592   64^3=262,144 (slow, ~5-10s)  80^3=512,000 (slow, ~30s)  96^3=884,736  140^3=2,744,000 (Compass 1.9.x betas crash with a memory exception)    h4. Proposed solution - cap at 100k fields    #intellectualhonesty - let the data drive your decision.    Thus Compass, most likely in [mongodb-schema|https://github.com/mongodb-js/mongodb-schema], should stop scanning at about 100k fields (configurable as other optimizations are found) in a document and report this Easter egg in the GUI (originally this was Issue 2 in COMPASS-1901).    h4. Acceptance criteria    * A mongoimport -able version of these documents, perhaps with easier to understand names like crazy_keys_512000 (might be already done by COMPASS-1766, if so drop up to 2 story points)  * Cap field or schema processing at 100k fields, reporting this somehow, e.g. with properties such as """"totalFieldCount"""", """"analyzedFieldCount"""" (working titles to capture the semantic, change the syntax as needed).  * Message displaying this scenario, e.g. """"100,000 fields limit reached, remaining N fields are not displayed""""  * Appropriate unit tests    h4. Out of scope    * Anything in the schema/indexes/document validation tabs (such as the react-select dropdown to choose an index name), this is just about the Documents Tab.    h4. Background    So I let Friday afternoon get to me and challenged myself to create a document with ~2.7 million keys.    After about 3 minutes, Compass crashes. The mongo shell is still doing something in CPU-land after 8 minutes so far.    On different data sets, such as documents with ~500,000 fields (i.e. COMPASS-1766), Compass takes ~30 seconds or more to render, or crashes (COMPASS-1764).     Would explicitly limiting Compass to say 100,000 fields with a message like """"Compass cannot render documents with more than 100,000 fields"""" seem reasonable? Yes but only when the user gets down to the 100,001st field.    For documents under 100k fields, is a loading spinner enough? (i.e. ~6 seconds, so should not need a progress bar?).     Proposed Solutions: Potentially push to the GPU? Otherwise just drop to {{Loading...}} text.""","  # Generate the document  python3 mkbson.py     # Import the document  mongorestore -d perf -c crazy_keys raw_crazy_keys.bson   ",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-1766","08/21/2017 04:36:16",2,"Investigate Compass CRUD render times with increasing numbers of keys ""# Use the script on COMPASS-1764, mgeneratejs or similar to generate documents with 50,100,200,400,800,1600,3200,6400,12800,25000,50000,100000 top-level fields  # Report results - Measure time to render and chart it     ## is it a straight line? is it exponentially slower each time?     ## is there a cut off point where it just hangs?  ""","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-1788","08/23/2017 07:13:35",3,"Generalize ""Show N more fields"" to clone mode ""Repeat the work as for Edit mode COMPASS-1787, but applied to Clone document mode.""","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-1802","08/27/2017 15:23:28",5,"Move Indexes Interal Package to External Plugin ""Move the Indexes internal plugin to an external one under 10gen/compass-indexes""","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-1803","08/27/2017 15:24:17",8,"Move Explain Internal Plugin to External One ""Move the explain plan internal plugin to an external one at mongodb-js/compass-explain-plan    Acceptance Criteria:  - Create mongodb-js/compass-explain-plan repo  - Generate the plugin from the new template.  - Move over Components  - Move from Reflux to Redux.  - Refactor Components to be Pure for use with Cloud""","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-1805","08/27/2017 15:26:05",5,"Move Collection Internal Plugin to External Plugin ""Move the collection internal plugin to external one at 10gen/compass-collection""","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
