"issuekey","created","storypoint","context","codesnippet","t_New.Feature","t_Improvement","t_Bug","t_Task","t_Build.Failure","t_Question","t_Problem.Ticket","t_Incident","t_Sub.task","c_app","c_legacy.ui","c_perf.tools","c_platform","c_ui","c_ops"
"EVG-1460","01/20/2017 21:30:05",2,"use --binary in git commands  ""The next chapter in the saga of the huge patch, which began in EVG-1459.    The file in question, libbson-objects.inv, is a *new* binary file that is added by the patch.    https://evergreen.mongodb.com/task/mongo_c_driver_releng_make_release_archive_340e610e019f404105aae8e2c1c12f8c85fc4c72_17_01_20_21_07_54""","   [2017/01/20 16:14:49.449] error: cannot apply binary patch to 'doc/libbson-objects.inv' without full index line   [2017/01/20 16:14:49.449] error: doc/libbson-objects.inv: patch does not apply   [2017/01/20 16:14:49.464] Command failed: Failed to apply patch: exit status 1  ",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1487","01/26/2017 15:53:42",1,"build_id and task_id have a race condition for patch builds ""Recent discussions and inspection gave me the impression that expansions work roughly this way (where """"roughly"""" means I'm not trying to be specific about how reserved characters are converted to dashes or underscores or whatever):    * project' – key for project in evergreen  * 'revision' – SHA1 of a commit in the repo for the project  * 'build_variant' – entry in the 'buildvariants' part of the config.yml  * 'task_name' – task name from 'tasks' part of config.yml  * 'version_id'  ** For commits: roughly {{""""$\{project\}\_$\{revision\}""""}}  ** For patches: a unique ID  * 'build_id' – roughly {{""""$\{project\}\_$\{build_variant\}\_$\{revision\}\_$\{TIMESTAMP\}""""}}  * 'task_id' – roughly {{""""$\{project\}\_$\{build_variant\}\_$\{task_name\}\_$\{revision\}\_$\{TIMESTAMP\}""""}}  * 'execution' – number of times a 'task_id' has executed (starting at 0)    My understanding is that TIMESTAMP is the commit timestamp for commits and the submission time for patches.    From this, it appears that it is possible for two patches on the same commit submitted at the same TIMESTAMP to wind up with the same 'build_id's and 'task_id's.    Without considering backwards compatibility issues, it looks like for patch builds, the 'build_id' and 'task_id' should be using the 'version_id' in place of the 'revision' field.    Alternatively, if 'version_id' for patches were 'project_<UNIQUEID>', then 'build_id' and 'task_id' could remove the 'project' and 'revision' expansions and just use 'version_id' instead, as it would include project information and a unique identifier:    * 'build_id' – roughly {{""""$\{version_id\}\_$\{build_variant\}\_$\{TIMESTAMP\}""""}}  * 'task_id' – roughly {{""""$\{version_id\}\_$\{build_variant\}\_$\{task_name\}\_$\{TIMESTAMP\}""""}}    It would be even more consistent, perhaps, to put timestamp after 'version_id' since that's what it's tied to, which would give you:    * 'build_id' – roughly {{""""$\{version_id\}\_$\{TIMESTAMP\}\_$\{build_variant\}""""}}  * 'task_id' – roughly {{""""$\{build_id\}\_$\{task_name\}""""}}    TIMESTAMP could even go first, before 'version_id', which has the added value of allowing id's to sort chronologically (e.g. listing contents of an S3 bucket):    * 'build_id' – roughly {{""""$\{TIMESTAMP\}\_$\{version_id\}\_$\{build_variant\}""""}}  * 'task_id' – roughly {{""""$\{build_id\}\_$\{task_name\}""""}}    Following that logic, you could add a new expansion:    * 'expansion_id' – roughly {{""""$\{task_id\}\_$\{expansion\}""""}}    Then all the unique identifier expansions would build logically and consistently on each other.    That would simplify the job of users choosing an expansion for naming artifacts to S3:    * Need something to reuse across tasks for a build: use just 'build_id'  * Need some task output for external consumption (e.g. a release tarball): use just 'task_id'  * Need to save debugging output from a particular task run: use just 'execution_id'""","",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1488","01/26/2017 16:45:32",1,"Add timestamp expansion ""If Evergreen provides a default expansion for the timestamp used to construct build_id, etc., then users can construct better build/task and ultimately S3 artifact identifiers than are currently provided by Evergreen itself.  ""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1503","02/09/2017 16:45:30",1,"Document 'command_type' ""It's not mentioned on the wiki.""","",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"EVG-1520","02/22/2017 19:23:48",0,"Allow projects to specify required builders for patch builds ""It would be nice if project managers could specify in a file what builders are required when sending patch builds, so the {{evergreen}} cli could read those defaults when users don't specify them.    We'd have to decide what to do when users have specified default builders in their {{.evergreen.yml}} file; probably printing a warning and honoring user's settings would be enough.""","",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1523","02/22/2017 23:00:49",2,"handle test result test files that are too long to index ""we need an index on this field, so we should either truncate these files or figure out some other way to handle this. ""","",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1533","03/01/2017 16:37:11",2,"previously executed tasks may not be included in test history retrieval  ""The [current implementation | https://github.com/evergreen-ci/evergreen/blob/master/model/task_history.go#L415] of merging old and current tasks may exclude ones if they are sorted in different ways.     We should include tests with both tasks and archived tasks that cover both the normal archiving a task case, and one where the two may have different sets of test results. ""","",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1540","03/07/2017 15:50:50",2,"adjust time zones on test-history command to support user's local timezones ""We currently support inputting only UTC, which what is stored in the DB. We should come up with a good way to support users' timezones. ""","",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1560","03/10/2017 21:27:48",2,"Endpoint to report on build success rate and elapsed time within a project/variant ""For Cloud tests on Evergreen, we'd like to create custom reports that track the pass/fail rate of all tasks on a build variant and the time taken for each.    As such, we'd like a REST endpoint that only requires {project} and {variant}, can take an optional {maxResults} and {sortBy}, that returns information on the last {maxResults} of builds. We need task-level detail but not test-level.  ""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1576","03/19/2017 21:06:59",2,"s3 operations should be more robust to networking issues ""either by more retry logic if system failures continue, or preferably by pushing tasks to doing s3 operations with their own code (or curator.) ""","",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1614","04/05/2017 19:16:11",2,"dist-race tarball execs should have the same file names as standard build ""this will make it easy to drop in or deploy race-detector enabled binaries, which isn't currently possible given that the file names aren't the same as the standard builds. However, not being able to tell based on file name if an artifact has the race detector by looking at it might make builds less hygienic or easy to produce.     we could also just put symlinks in the tarball, which may or may not work more long term. ""","",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1628","04/14/2017 19:46:50",1,"get rid of global lock for task cleanup on timed out heartbeats ""The global lock is used for cleaning up hosts and tasks. This will probably require some use of atomic updates.  Currently we cleanup timed out tasks and reset them.   ""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1640","04/25/2017 01:44:08",1,"get rid of global lock for host cleanup  ""this may require having atomic updates on the host status ""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1650","05/01/2017 23:10:34",1,"Fix (MISSING) in runner logs ""There are a lot of (MISSING) appearing in the runner logs.        Some examples:  """,":~$ grep """"(MISSING)"""" /var/log/evergreen/evg_runner.log | wc     4733  182977 2870167  [evg-runner] 2017/05/01 21:59:52 [p=info]: Remote command executing: '""""-p 22 -i xxxx.pem -o StrictHostKeyChecking=no -o BatchMode=yes -o ConnectTimeout=10 -o ProxyCommand=ssh -o StrictHostKeyChecking=no -i /xxxxxx.pem -q xxxx@xxxx nc %!h(MISSING) %!p(MISSING) xxx@xxxxx echo hi""""'    [evg-runner] 2017/05/01 21:47:07 [p=info]: Setup complete for host %!s(MISSING) sir-5sqg4x5k    [evg-runner] 2017/05/01 21:54:50 [p=info]: Directories command: '&command.RemoteCommand{Id:""""agent_mkdir-6437555143072532165"""", CmdString:""""mkdir -m 777 -p /xxxxx"""", Stdout:(*util.CappedWriter)(0xc422b0b150), Stderr:(*util.CappedWriter)(0xc422b0b150), RemoteHostName:""""xxxxx"""", User:""""xxxx"""", Options:[]string{""""-p"""", """"22"""", """"-i"""", """"xxxx.pem"""", """"-o"""", """"StrictHostKeyChecking=no"""", """"-o"""", """"BatchMode=yes"""", """"-o"""", """"ConnectTimeout=10"""", """"-o"""", """"ProxyCommand=ssh -o StrictHostKeyChecking=no -i xxxx.pem -q xxxx@xxxxx nc %!h(MISSING) %!p(MISSING)""""}, Background:false, LoggingDisabled:false, Cmd:(*exec.Cmd)(nil)}'    [evg-runner] 2017/05/01 21:44:06 [p=debug]: new instance: instance=evg_ubuntu1604-packer_20170501214405_8260689971911243266, object={i-019bc6e4aa1433fbf t1.micro us-east-1c [] {%!!(MISSING)s(int=0) pending}  {pending pending} ami-602a4d76 mci disabled {  } 2017-05-01T21:44:05.000Z  x86_64 xen aki-919dcaf8   paravirtual %!!(MISSING)s(int=0)  default   e72f41bf1e7b68416a516a46293491d35a3fe7a2fc776056a9921716cd01402b [] ebs /dev/sda1 [] %!!(MISSING)s(bool=false)       [{sg-15fe2e7e xxxx  }] [] %!!(MISSING)s(bool=false) }    [evg-runner] 2017/05/01 19:16:28 [p=error]: unable to attach tags for $s%!!(MISSING)(EXTRA string=sir-56987wng): The spot instance request ID 'sir-56987wng' does not exist (InvalidSpotInstanceRequestID.NotFound)  bash /data/infrastructure_provisioning/terraform/infrastructure_teardown.sh User:root SSHKey:mci SSHOptions:[StrictHostKeyChecking=no BatchMode=yes ConnectTimeout=10] UserData:{File: Validate:} SpawnAllowed:false Expansions:[{Key:decompress Value:tar zxvf} {Key:ps Value:ps aux} {Key:kill_pid Value:kill -- -$(ps opgid= %!v(MISSING))} {Key:scons_prune_ratio Value:0.8}]} Provider:ec2 Provisioned:false ProvisionOptions:<nil> RunningTask: Pid: TaskDispatchTime:1970-01-01 00:00:00 +0000 UTC ExpirationTime:0001-01-01 00:00:00 +0000 UTC CreationTime:2017-05-01 20:02:40.275 +0000 UTC TerminationTime:1970-01-01 00:00:00 +0000 UTC LastTaskCompletedTime:0001-01-01 00:00:00 +0000 UTC LastTaskCompleted: LastCommunicationTime:0001-01-01 00:00:00 +0000 UTC Status:starting StartedBy:mci UserHost:false AgentRevision: InstanceType:m3.large Notifications:map[] UserData: LastReachabilityCheck:0001-01-01 00:00:00 +0000 UTC UnreachableSince:0001-01-01 00:00:00 +0000 UTC}    [evg-runner] 2017/05/01 20:54:03 [p=info]: Uploading client binary to host %!s(MISSING) i-047143501124e7120",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1662","05/05/2017 14:11:58",2,"No overflow checking on batchtime ""It is possible to set a very large batchtime (e.g.: max int64) and overflow the internal representation. The consequence is that builds will always be scheduled.""","",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-9468","05/13/2017 20:16:48",8,"Revive Dagger Tools  ""this ticket is a place holder for work on the dagger project to make the visualizer work and import some existing work""","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"EVG-1691","05/19/2017 22:28:50",2,"Don't display sub-second timings on on stats graphs ""https://evergreen.mongodb.com/task_timing/mongodb-mongo-master#/project=mongodb-mongo-master&buildVariant=enterprise-rhel-62-64-bit&taskName=compile_all&requester=gitter_request&limit=500    Doing so severely skews the visual quality of the results. The spikes to high values are harder to ignore without heuristics, but rounding down times to the nearest second seems worthwhile.""","",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"EVG-1692","05/22/2017 14:14:41",2,"compile_all task failing continuously for weeks without sending notifications ""You can see the failure history here:    https://evergreen.mongodb.com/task_history/mongodb-mongo-master/compile_all    But this query (which I would expect to return a BFG ticket every ~3rd day or so) instead only has one ticket:    https://jira.mongodb.org/issues/?jql=project%20in%20(BFG%2C%20BF)%20and%20cf%5B14277%5D%20%3D%20ubuntu1604-debug-ubsan%20and%20%22Failing%20Tasks%22%20%3D%20compile_all""","",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1714","06/10/2017 18:32:44",2,"go test plugin should be more flexible in its parsing  ""This test shouldn't fail, and does because gccgo has a different zero time value string format, which our regex doesn't account for.     https://evergreen.mongodb.com/task/Greenbay_rhel62_gccgo_test_output_2876d0bd3a8b690c1adc411d6d7b0e7534c6750e_17_06_10_17_06_01""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1717","06/12/2017 20:34:02",2,"Fetch a Paginated List of Distros: GET /distros ""EVG-880 implements only a portion of the distro model. We should enrich the APIDistro struct to implement the remainder of the model. Note also that EVG-880 assumes the distros list is not paginated, so this needs to be changed when the route is implemented.""","",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1776","06/15/2017 16:09:07",2,"Base URL for JIRA tickets is sometimes ""undefined"" instead of ""jira.mongodb.com"" ""See https://evergreen.mongodb.com/build/mongodb_mongo_master_ubuntu1604_debug_aubsan_lite_6c0e2884a22a82d57f2cef12756fc6a7609e20c9_17_06_14_21_15_31""","",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"EVG-1799","06/19/2017 20:27:14",1,"ETA tooltip always shows >= 1 day on patch builds ""For example, in progress tasks on https://evergreen.mongodb.com/version/594803ff2fbabe4229000a86 have a tooltip showing ETA: >= 1 day    See https://evergreen.mongodb.com/patches/project/mongodb-mongo-v3.4 for more examples.    The waterfall page isn't affected: https://evergreen.mongodb.com/waterfall/mongodb-mongo-v3.4""","",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-9391","06/23/2017 21:22:18",2,"On Windows curator stat process-tree --pid <> does not return complete info ""This ticket is related to incomplete process information when querying the """"http://localhost:2285/status"""" Evergreen endpoint on Windows. As requested, I've run the following curator command on Windows with the curator build {{d7616}} commit.            with output:        I do not see any """"ps_info"""" data.""","  $ ps        PID    PPID    PGID     WINPID   TTY         UID    STIME COMMAND       1372    2596    1372        516  ?         197108 19:50:23 /usr/sbin/sshd       2596    1216    2596       2380  ?         197108 19:13:20 /usr/sbin/sshd       1104    1372    1104       1204  pty1      197108 19:50:24 /usr/bin/bash        860     192     860        856  pty0      197108 19:23:14 /usr/bin/bash       1216       1    1216       1216  ?         197108 19:13:20 /usr/bin/cygrunsrv        916     860     916       2472  pty0      197108 20:18:20 /usr/bin/ps        192    2596     192       2900  ?         197108 19:23:11 /usr/sbin/sshd  ./curator stat process-tree --pid 2596  {    """"pid"""": 2596,    """"cpu"""": {      """"cpu"""": """""""",      """"user"""": 0,      """"system"""": 0,      """"idle"""": 0,      """"nice"""": 0,      """"iowait"""": 0,      """"irq"""": 0,      """"softirq"""": 0,      """"steal"""": 0,      """"guest"""": 0,      """"guestNice"""": 0,      """"stolen"""": 0    },    """"io"""": {      """"readCount"""": 0,      """"writeCount"""": 0,      """"readBytes"""": 0,      """"writeBytes"""": 0    },    """"mem"""": {      """"rss"""": 20480,      """"vms"""": 0,      """"swap"""": 0    },    """"memExtra"""": {},    """"errors"""": [      """"Couldn't find pid:ਤ"""",      """"could not get ThreadCount: could not get win32Proc: empty"""",      """"could not get CommandLine: could not get win32Proc: empty"""",      """"could not get Win32Proc: could not get win32Proc: empty""""    ],    """"metadata"""": {      """"level"""": 40,      """"hostname"""": """"WIN-3DH432IBF3A"""",      """"time"""": """"2017-06-23T19:55:55.9990884Z"""",      """"process"""": """"C:\\data\\mci\\curator""""    }  }  ",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"EVG-9510","06/24/2017 02:52:12",1,"curator compile only push tasks should depend on a full suite ""to avoid pushing in cases where a test has failed ""","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"EVG-9465","06/26/2017 19:45:10",1,"greenbay tests leave detritus in home directory ""observed from test compile operation on windows, presumably elsewhere. ""","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"EVG-1818","06/27/2017 21:28:49",1,"In BF project the ""diff"" link missing ""mongo"" ""eg https://jira.mongodb.org/browse/BF-5321 points to https://github.com/mongodb/commit/932c2f345598d8e1d283e8c2bb54fd8d0e11c853 ( the link misses mongo)""","",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1820","06/28/2017 16:01:04",1,"static hosts should not get flagged for termination ""I have a static host that was marked as unreachable, and the monitor published a bunch of """"flagged for termination because: """" messages. Obviously the host can't be terminated though because it is static.  https://evergreen.mongodb.com/host/root@ec2-54-242-216-156.compute-1.amazonaws.com""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
