"issuekey","created","storypoint","context","codesnippet","t_Bug","t_Enhancement.Request","t_Story","t_Task","t_Epic","c_Build..Distributions","c_Modules..XML..XSLT..XPath..SXC","c_Core...other.","c_Core..Routing...Filters","c_Build..Libraries...Dependencies","c_Modules..CXF","c_Transport..FTP...SFTP","c_Transport..Quartz","c_Core..Components","c_Transport..HTTP.S....Jetty","c_Core..Exception.Handling","c_Core..Transports","c_Transport..JMS","c_Core..Containers","c_Core..Logging","c_Build...other.","c_Mule.Core","c_Core..API","c_Module..APIKit","c_Modules...other.","c_Build..Integration.Tests","c_Transport..JDBC","c_Core..Concurrency...Threading","c_Build..Maven","c_Core..Event.Message","c_Modules..Devkit.Support","c_Core..Transactions","c_Transport..AJAX","c_Core..Streaming","c_Transport..Email","c_Modules..XA.Transactions","c_Core..Queues..SEDA....Persistence","c_Core..Flow","c_Core..Domains.shared.resources","c_Transport..TCP...UDP...SSL...Multicast","c_Core..Bootstrap...Standalone","c_Modules..WS.Consumer","c_Core..Deployment","c_Tools","c_Core..Configuration","c_Core..Registry","c_Build..JDK.Compatibility","c_Core..Services","c_Core..Transformers","c_Core..Properties","c_Core..Watermark","c_Core..Expressions","c_Examples...Tutorials","c_Transport..VM","c_Modules..Management...JMX","c_Modules..HTTP","c_Core..Endpoints","c_Core..Lifecycle","c_Extensions.API","c_Transport..File","c_Schema","c_Documentation...Website","c_Tools..Archetypes","c_Modules..Security..Spring.Security..Acegi..PGP..WS.Security.","c_Modules..Jersey","c_Batch","c_Core..Sessions","c_Core..Non.Blocking","c_Transport..Axis","c_Transport..XMPP..Jabber.","c_Extensions","c_sdk","c_e..DataSense","c_Modules..File","c_Core..DSL.processing","c_Core..Classloading","c_Test..Testing.Framework","c_Modules..FTP","c_Modules..Email","c_Extensions..Maven.Plugin","c_Core..Agents","c_Modules..MuleClient","c_Modules..Sockets","c_Core..Policies","c_jms.module","c_Tooling.Client","c_Core..Request.Reply","c_soap","c_mule4","c_Service..HTTP","c_Modules..RSS...ATOM","c_Core..ObjectStore","c_Debugger","c_Interception.API","c_Service..SOAP","c_Connector..DB","c_Tooling.API","c_Module..Aggregators","c_Connector..ObjectStore","c_core..Notifications","c_Modules..OAuth","c_Connector..VM","c_Service..Scheduling","c_SDK.AST","c_Mule.Runtime"
"MULE-6417","08/24/2012 23:56:25",0,"/ by zero in ComponentStatistics ""Recently I have been querying JMX statistics periodically via the MXBean interface (domain=Mule.*, type=org.mule.Statistics). After collecting statistics for each MBean, I reset the bean by invoking """"clearStatistics"""" with no arguments, so that I can come back and collect fresh statistics later.    Howeven, when I do this while mule is under load, I see that the ComponentStatistics class starts to throw an exception on a divide-by-zero error. It tends to happen on multiple processor threads, and it seems to be a persistent issue - i.e. it throws the error every few seconds until I restart mule. I am uncertain if a message is trapped in limbo due to the repeated exception, but I think it may be as the message seems to repeat over and over again.    ERROR org.mule.exception.DefaultMessagingExceptionStrategy - Caught exception in Exception Strategy: / by zero  java.lang.ArithmeticException: / by zero          at org.mule.management.stats.ComponentStatistics.addExecutionBranchTime(ComponentStatistics.java:163)          at org.mule.management.stats.FlowConstructStatistics.addFlowExecutionBranchTime(FlowConstructStatistics.java:110)          at org.mule.management.stats.ProcessingTime.addFlowExecutionBranchTime(ProcessingTime.java:95)          at org.mule.interceptor.ProcessingTimeInterceptor.last(ProcessingTimeInterceptor.java:53)          at org.mule.interceptor.AbstractEnvelopeInterceptor.process(AbstractEnvelopeInterceptor.java:61)          at org.mule.processor.AsyncInterceptingMessageProcessor.processNextTimed(AsyncInterceptingMessageProcessor.java:111)          at org.mule.processor.AsyncInterceptingMessageProcessor$AsyncMessageProcessorWorker.doRun(AsyncInterceptingMessageProcessor.java:158)          at org.mule.work.AbstractMuleEventWork.run(AbstractMuleEventWork.java:43)          at org.mule.work.WorkerContext.run(WorkerContext.java:310)          at java.util.concurrent.ThreadPoolExecutor$CallerRunsPolicy.rejectedExecution(ThreadPoolExecutor.java:1746)          at java.util.concurrent.ThreadPoolExecutor.reject(ThreadPoolExecutor.java:767)          at java.util.concurrent.ThreadPoolExecutor.execute(ThreadPoolExecutor.java:658)          at org.mule.work.ScheduleWorkExecutor.doExecute(ScheduleWorkExecutor.java:41)          at org.mule.work.MuleWorkManager.executeWork(MuleWorkManager.java:250)          at org.mule.work.MuleWorkManager.scheduleWork(MuleWorkManager.java:218)          at org.mule.processor.SedaStageInterceptingMessageProcessor.run(SedaStageInterceptingMessageProcessor.java:233)          at org.mule.work.WorkerContext.run(WorkerContext.java:310)          at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:886)          at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:908)          at java.lang.Thread.run(Thread.java:662)  ""","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MULE-6441","09/17/2012 07:09:34",5,"Inconsistent behaviour of foreach with inside flowvar ""The index of the foreach inside the flow of the flowref is not consistent.  It seems that there is a lack of atomicity with the invocation variables causing as a result jump of indexes of the iteration and overwrite of invocation variables.    In the example below my payload is the result of a sql query so an ArrayList<CaseInsensitiveHashMap>. I save the value of each row in a flow variable to make it always available in next operations (the original project has more flowRef).  The problem comes out because in the contained flow accessed by the flowRef, the invocation variable carrying the index of the iteration and also the name of the element that I saved is not consistent during each iteration. Sometimes some idexes are jumped and also the element of my array tooks more time the same value.""","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MULE-6468","10/03/2012 22:12:19",8,"Messages generated from http-messages.properties should be escaped when returned to the client as http response ""Currently if you send the the following http request:        you will receive the following response:        containing potential malicious javascript code that the browser will run.    Anytime a message is returned to the client the inputs should be parsed to prevent this kind of problems""","  GET /unionstation/ens/form HTTP/1.1   Accept: */*   Accept-Language: en-us   UA-CPU: x86   User-Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)   Host: staging-unionstation.optuminsight.com   Authorization: <sCrIpT>alert(88585)</sCrIpT>   Pragma: no-cache   Referer: https://staging-unionstation.optuminsight.com:443/unionstation/ens/form   X-Scan-Memo: Category=""""Audit""""; Function=""""createStateRequestFromAttackDefinition"""";   SID=""""CF1B85D9856FC7300BE04E08AE969344""""; PSID=""""1D12AD7B110413DEBB8E6634539F76CF"""";   SessionType=""""AuditAttack""""; CrawlType=""""None""""; AttackType=""""HeaderParamManipulation""""; OriginatingEngineID=""""1354e211-   9d7d-4cc1-80e6-4de3fd128002""""; AttackSequence=""""3""""; AttackParamDesc=""""Authorization""""; AttackParamIndex=""""6"""";   AttackParamSubIndex=""""0""""; CheckId=""""(null)""""; Engine=""""Cross+Site+Scripting""""; Retry=""""False"""";   SmartMode=""""NonServerSpecificOnly""""; AttackString=""""%3csCrIpT%3ealert(88585)%3c%2fsCrIpT%3e"""";   AttackStringProps=""""Attack"""";   Connection: Keep-Alive   Cookie: CustomCookie=WebInspect76158ZX7B636566555940D48015FD4B8FB9C0F6Y76AF   UnitedHealth Group 5Report Date: 9/28/2012 Vulnerability (Legacy)     HTTP/1.1 403 Forbidden   Date: Thu, 27 Sep 2012 07:55:26 GMT   Server: Mule Core/3.3.0   http.status: 403   X-MULE_ENCODING: UTF-8   WWW-Authenticate: Basic realm=""""X12Files""""   Content-Type: text/plain; charset=UTF-8   Content-Length: 116   Connection: close   Http Basic filter doesnt know how to handle header <sCrIpT>alert(88585)</sCrIpT>. Message payload is of type: String   ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MULE-6471","10/04/2012 14:39:45",1,"Default exception strategy is not being called ""I have the following flow:        When I post with an invalid JSON, the return is """"Could not store the User""""      However when I do:        The exception is not handled""","      <flow name=""""storeUser"""" doc:name=""""storeUser"""" >          <http:inbound-endpoint exchange-pattern=""""request-response"""" host=""""localhost"""" port=""""8081"""" path=""""save"""" doc:name=""""HTTP""""/>          <objectstore:store config-ref=""""ObjectStore"""" key=""""#[json:user]"""" value-ref=""""#[payload]"""" doc:name=""""Storing the User"""" />          <async doc:name=""""Async"""">              <scripting:component doc:name=""""Groovy"""">                  <scripting:script engine=""""Groovy"""">                      <scripting:text><![CDATA[Thread.sleep(10000)]]></scripting:text>                  </scripting:script>              </scripting:component>              <vm:outbound-endpoint exchange-pattern=""""one-way"""" address=""""vm://sendMail"""" doc:name=""""VM""""/>          </async>          <tracking:custom-event event-name=""""Stored User"""" doc:name=""""Stored user Info"""">              <tracking:meta-data key=""""user"""" value=""""#[json:user]""""/>          </tracking:custom-event>          <catch-exception-strategy >              <set-payload value=""""#[string: Could not store the user]"""" doc:name=""""An Exception ocurred....""""/>          </catch-exception-strategy>      </flow>          <flow name=""""storeUser"""" doc:name=""""storeUser"""" >          <http:inbound-endpoint exchange-pattern=""""request-response"""" host=""""localhost"""" port=""""8081"""" path=""""save"""" doc:name=""""HTTP""""/>          <objectstore:store config-ref=""""ObjectStore"""" key=""""#[json:user]"""" value-ref=""""#[payload]"""" doc:name=""""Storing the User"""" />          <async doc:name=""""Async"""">              <scripting:component doc:name=""""Groovy"""">                  <scripting:script engine=""""Groovy"""">                      <scripting:text><![CDATA[Thread.sleep(10000)]]></scripting:text>                  </scripting:script>              </scripting:component>              <vm:outbound-endpoint exchange-pattern=""""one-way"""" address=""""vm://sendMail"""" doc:name=""""VM""""/>          </async>          <tracking:custom-event event-name=""""Stored User"""" doc:name=""""Stored user Info"""">              <tracking:meta-data key=""""user"""" value=""""#[json:user]""""/>          </tracking:custom-event>          <default-exception-strategy>              <set-payload value=""""#[string: Could not store the user]"""" doc:name=""""An Exception ocurred....""""/>          </default-exception-strategy>      </flow>  ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MULE-6501","10/26/2012 22:45:41",8,"XsltTransformer forcefully evaluate expressions in context-property into Strings ""This arbitrary limitation prevents passing DOM nodes as XSL parameters :(    It comes from the fact the XSL transformer uses the deprecated {{parse}} method in:  ""","      protected Object evaluateTransformParameter(String key, Object value, MuleMessage message) throws TransformerException      {          if (value instanceof String)          {              return muleContext.getExpressionManager().parse(value.toString(), message);          }            return value;      }  ",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MULE-6512","11/02/2012 18:49:18",2,"MuleMessageToHttpResponse.createResponse shouldn't use SimpleDateFormat ""We should use JodaTime's DateTimeFormatter since it is thread-safe (we can use one static instance) and faster than creating a new one each time.""","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MULE-6557","12/05/2012 21:05:22",0,"Performance regression when caching JMS Sessions ""When enabling cacheJmsSessions attribute on the JMS Connector performance drops to a factor of 10.    Attached test case contains an example of this, if runned on mule 3.2.2, it lasts 3 to 5 seconds to process 10k messages, if runned on mule 3.3.0 or 3.3.1, it lasts 30 to 32 seconds to process 10k messages.    This has been tested on ActiveMQ and Websphere Message Broker.""","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MULE-6604","01/21/2013 19:48:09",1,"Upgrade Jackson to 1.9.11 ""This version works with 1.8.0 and there are some deprecated methods in 1.9.11, so there is a need for an upgrade.""","",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MULE-6628","02/02/2013 00:31:23",5,"Should be able to replace Log4j for another logging implementation ""http://www.mulesoft.org/documentation/display/MULE3USER/Configuring+Logging says in the section titled """"I don't want to use Log4j"""" that the log4j jar can be removed so long as SLF4J is wired to another logging implementation. Removing the Log4j jar results in     WrapperManager Error: Error in WrapperListener.start callback.  java.lang.NoClassDefFoundError: org/apache/log4j/spi/RepositorySelector  WrapperManager Error: java.lang.NoClassDefFoundError: org/apache/log4j/spi/RepositorySelector  WrapperManager Error:   at java.lang.Class.getDeclaredConstructors0(Native Method)  WrapperManager Error:   at java.lang.Class.privateGetDeclaredConstructors(Class.java:2389)  WrapperManager Error:   at java.lang.Class.getConstructor0(Class.java:2699)  WrapperManager Error:   at java.lang.Class.getConstructor(Class.java:1657)  WrapperManager Error:   at org.mule.module.reboot.MuleContainerWrapper.start(MuleContainerWrapper.java:53)  WrapperManager Error:   at org.tanukisoftware.wrapper.WrapperManager$12.run(WrapperManager.java:3925)  WrapperManager Error: Caused by: java.lang.ClassNotFoundException: org.apache.log4j.spi.RepositorySelector  WrapperManager Error:   at java.net.URLClassLoader$1.run(URLClassLoader.java:202)  WrapperManager Error:   at java.security.AccessController.doPrivileged(Native Method)  WrapperManager Error:   at java.net.URLClassLoader.findClass(URLClassLoader.java:190)  WrapperManager Error:   at java.lang.ClassLoader.loadClass(ClassLoader.java:306)  WrapperManager Error:   at java.lang.ClassLoader.loadClass(ClassLoader.java:247)  WrapperManager Error:   ... 6 more    This is due to the patch done to fix MULE-5264 which causes MuleContainer to have a direct reference to Log4j's RepositorySelector. Simply moving the reference and the call to setRepositorySelector to some other class which is not accessed via a static reference should solve the problem.""","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MULE-6641","02/13/2013 23:57:42",0,"REST Service/Interface Definition ""http://corp.wiki.mulesource.com/display/WP/Simplified+REST+Service+Creation""","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MULE-6642","02/13/2013 23:57:47",8,"REST Document Resource Definition ""http://corp.wiki.mulesource.com/display/WP/Simplified+REST+Service+Creation""","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
