"issuekey","created","storypoint","context","codesnippet","t_Task","t_Bug","t_Improvement","t_New.Feature","c_Storage","c_Indexing","c_Testing.Infrastructure","c_WiredTiger","c_Shell","c_Performance","c_Diagnostics","c_Build","c_Packaging","c_Replication","c_MapReduce","c_Sharding","c_Logging","c_Catalog","c_Concurrency","c_Internal.Code","c_Upgrade.Downgrade","c_Querying","c_Networking"
"SERVER-26625","10/13/2016 22:41:59",2,"Make collStats command consistent on background index reporting ""The collStats command includes indexes that are undergoing background index build in the 'indexSizes' section. It does not include them in 'nindexes' or 'indexDetails'. We should make reporting consistent, and make clear which indexes are undergoing background build (if any).""","",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERVER-26867","11/01/2016 17:21:24",2,"Timeout-related assert.soon failures should trigger the hang analyzer ""When an test fails due to a timeout, it would be nice if that would trigger the hang analyzer before tearing down the processes. This would let us see what the server is doing that is preventing it from doing what we expect.    -Timeout-related failures include:-   * -assert.soon()-   * -wtimeout expiring-   * -$maxTimeMs expiring-    Update: Per discussion below we will be limiting this to {{assert.soon}}, {{assert.soonNoExcept}}, {{assert.retry}}, and {{assert.assert.retryNoExcept}}.""","",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERVER-26953","11/08/2016 18:18:53",0,"Track bytes read into cache per query ""When slow queries are logged we include information about documents and index entries scanned to help diagnose performance issues. However that information doesn't tell us whether the documents or index entries scanned were in cache or not, and if they are not in cache they can have a much more significant performance impact. Reporting bytes read into cache for each query logged would help diagnose the cause of performance issues related to cache pressure.    This might be accomplished by tracking bytes read into cache per cursor or per session in WT, and computing the difference between the value of this counter before and after each query. Query performance impact would need to be evaluated.""","",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SERVER-26988","11/10/2016 21:58:01",5,"Secondary delay causes large drop in insert rate on the primary due to cache full condition ""With a heavy insert load and a secondary that is delayed the cache on the primary fills to 100% and operation rates drop. Here's a run showing behavior on the primary with the secondary delayed due to lag, but a similar effect is seen if the secondary is intentionally delayed using slaveDelay.    !lagging.png|width=100%!    * from D-E the cache is 95% full and insert rate drops considerably, possibly due to application threads doing evictions?  * F-G and H-I seem to be seem to be related to checkpoints, possibly also in combination with the full cache?  * the rate of pages walked for eviction is generally very high, about 6k times the rate of pages actually evicted, suggesting that the issue is difficulty finding pages to evict to keep the cache at target levels    The high rate of pages walked for eviction suggests a connection to SERVER-22831, which also showed that symptom in connection with a full cache; however the above run was on 3.2.5-rc1 where SERVER-22831 was fixed, so it seems there is a different issue here.    The above test involved  * 3.2.5-rc1  * 2-node replica set  * 25 GB cache  * 100 GB oplog  * 5 threads inserting 800 byte documents into 5 separate collections      ""","  for t in $(seq 5); do      mongo --eval """"          x = ''          for (var i=0; i<800; i++)              x += 'x'          docs = []          for (var i=0; i<1000; i++)              docs.push({x:x})          ops = [{              op: 'insert',              ns: 'test.c' + '$t',              doc: docs,          }]          res = benchRun({              ops: ops,              seconds: 10000,              parallel: 1          })      """" &  done    wait  ",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERVER-28940","04/24/2017 16:21:25",5,"Make resmoke fixture setup/teardown their own testcases. ""The fixture setup and teardown logs only go to logkeeper, but don't show up on the Evergreen sidebar. So the assertions can't be extracted without figuring out the logkeeper URL from the task log.    Since everything else that logs to logkeeper (i.e. test and hooks) is a testcase that shows up on the sidebar, the fixture events should get their own spots as well.""","",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERVER-29999","07/06/2017 14:43:41",5,"Implement FSM workload scheduler for concurrency_simultaneous task ""We'll want to port [the {{scheduleWorkloads()}} function|https://github.com/mongodb/mongo/blob/r3.7.7/jstests/concurrency/fsm_libs/runner.js#L148-L206] from JavaScript to Python so that resmoke.py is in control over the groups of FSM workloads that are run together. The behavior around the number of subsets an individual FSM workload can be a part of should be identical to what it is for the {{concurrency_simultaneous.yml}} test suite today.    Additionally, specifying {{\-\-suites=concurrency_simultaneous jstests/concurrency/fsm_workloads/workloadA.js jstests/concurrency/fsm_workloads/workloadB.js}} should run those two FSM workloads together rather than in sequence. That is to say, if a list of files is omitted then {{numSubsets}} groups of FSM workloads should be run and if a list of files is present then exactly 1 group of FSM workloads should be run. The latter aims to serve an engineer who wishes to reproduce a particular failure by running the same group of FSM workloads together.""","",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERVER-30204","07/18/2017 15:30:54",3,"Create resmoke.py hook that drops all databases without restarting the cluster ""-Add support for including background/perpetual workloads.- Background/perpetual workloads should be done as background threads in resmoke.py and don't need any special handling other than ensuring adequate documentation in our internal wiki.    Also, add a new hook to drop all DBs and collections after every FSM test. When running in """"the same"""" DB Or """"same collection"""" FSM modes, pass the DB or collection that are not dropped to the new cleanup hook. CleanupOption of not dropping certain DBs will be taken into account as needed.    The new hook will be used in place of CleanEveryN to avoid the overhead of spinning up a large cluster multiple times.""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERVER-31535","10/12/2017 22:01:50",3,"Platform Support: remove Ubuntu 12.04 builds ""Ubuntu 12.04 is EOL, so we should drop support for it in 3.6.""","",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"SERVER-31570","10/13/2017 21:37:13",3,"Adjust mongobridge port allocations for easier debugging ""Mongobridge assigns ports sequentially so you have to use modular arithmetic to figure out which bridges are associated with which mongods. If we assigned (bridge port) = (mongod port) + 10000, it would be very easy to map them to each other. ""","",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SERVER-32223","12/08/2017 15:53:38",2,"Add burn-in tests for configurations in other variants in addition to other suites ""Many tests accidentally forget to mark """"requires_persistence"""" or other things that are only tested on non-required builders. Similarly, mmap is now run on its own builder. Incorporating some of these """"variant"""" flags into burn-in tests on the required builders could avoid easy test failures.""","",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERVER-33000","12/12/2017 20:40:31",8,"Platform Support: add Ubuntu 18.04 ""This can go to the backlog for now, but Ubuntu 18.04 will be available soon, so we should be ready to add this platform as soon as there are images out there.""","",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SERVER-32437","12/21/2017 17:18:27",8,"Platform Support: add Amazon Linux 2 ""On December 13th, Amazon released Amazon Linux 2. The installation of our current package for AMZL fails:        I guess the missing dependencies could be manually added but still, Amazon Linux 2 is not officially supported at the moment""","  [ec2-user@ip-172-31-32-108 ~]$ sudo yum install -y mongodb-enterprise  Loaded plugins: langpacks, update-motd  amzn2-core                                                                                                                                                                                               | 2.0 kB  00:00:00       https://repo.mongodb.com/yum/redhat/2017.12/mongodb-enterprise/3.6/x86_64/repodata/repomd.xml: [Errno 14] HTTPS Error 404 - Not Found  Trying other mirror.  Resolving Dependencies  --> Running transaction check  ---> Package mongodb-enterprise.x86_64 0:3.6.0-1.amzn1 will be installed  --> Processing Dependency: mongodb-enterprise-tools = 3.6.0 for package: mongodb-enterprise-3.6.0-1.amzn1.x86_64  --> Processing Dependency: mongodb-enterprise-shell = 3.6.0 for package: mongodb-enterprise-3.6.0-1.amzn1.x86_64  --> Processing Dependency: mongodb-enterprise-server = 3.6.0 for package: mongodb-enterprise-3.6.0-1.amzn1.x86_64  --> Processing Dependency: mongodb-enterprise-mongos = 3.6.0 for package: mongodb-enterprise-3.6.0-1.amzn1.x86_64  --> Running transaction check  ---> Package mongodb-enterprise-mongos.x86_64 0:3.6.0-1.amzn1 will be installed  --> Processing Dependency: libsasl2.so.2()(64bit) for package: mongodb-enterprise-mongos-3.6.0-1.amzn1.x86_64  ---> Package mongodb-enterprise-server.x86_64 0:3.6.0-1.amzn1 will be installed  --> Processing Dependency: libsasl2.so.2()(64bit) for package: mongodb-enterprise-server-3.6.0-1.amzn1.x86_64  --> Processing Dependency: libnetsnmpmibs.so.20()(64bit) for package: mongodb-enterprise-server-3.6.0-1.amzn1.x86_64  --> Processing Dependency: libnetsnmphelpers.so.20()(64bit) for package: mongodb-enterprise-server-3.6.0-1.amzn1.x86_64  --> Processing Dependency: libnetsnmpagent.so.20()(64bit) for package: mongodb-enterprise-server-3.6.0-1.amzn1.x86_64  --> Processing Dependency: libnetsnmp.so.20()(64bit) for package: mongodb-enterprise-server-3.6.0-1.amzn1.x86_64  ---> Package mongodb-enterprise-shell.x86_64 0:3.6.0-1.amzn1 will be installed  --> Processing Dependency: libsasl2.so.2()(64bit) for package: mongodb-enterprise-shell-3.6.0-1.amzn1.x86_64  ---> Package mongodb-enterprise-tools.x86_64 0:3.6.0-1.amzn1 will be installed  --> Processing Dependency: libsasl2.so.2()(64bit) for package: mongodb-enterprise-tools-3.6.0-1.amzn1.x86_64  --> Finished Dependency Resolution  Error: Package: mongodb-enterprise-mongos-3.6.0-1.amzn1.x86_64 (mongodb-enterprise)             Requires: libsasl2.so.2()(64bit)  Error: Package: mongodb-enterprise-shell-3.6.0-1.amzn1.x86_64 (mongodb-enterprise)             Requires: libsasl2.so.2()(64bit)  Error: Package: mongodb-enterprise-server-3.6.0-1.amzn1.x86_64 (mongodb-enterprise)             Requires: libnetsnmpmibs.so.20()(64bit)  Error: Package: mongodb-enterprise-tools-3.6.0-1.amzn1.x86_64 (mongodb-enterprise)             Requires: libsasl2.so.2()(64bit)  Error: Package: mongodb-enterprise-server-3.6.0-1.amzn1.x86_64 (mongodb-enterprise)             Requires: libnetsnmpagent.so.20()(64bit)  Error: Package: mongodb-enterprise-server-3.6.0-1.amzn1.x86_64 (mongodb-enterprise)             Requires: libnetsnmphelpers.so.20()(64bit)  Error: Package: mongodb-enterprise-server-3.6.0-1.amzn1.x86_64 (mongodb-enterprise)             Requires: libnetsnmp.so.20()(64bit)  Error: Package: mongodb-enterprise-server-3.6.0-1.amzn1.x86_64 (mongodb-enterprise)             Requires: libsasl2.so.2()(64bit)   You could try using --skip-broken to work around the problem   You could try running: rpm -Va --nofiles --nodigest  ",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SERVER-32443","12/21/2017 17:45:07",1,"Create a sys-perf task for running linkbench automatically against a replica set ""Once the MongoDB linkbench implementation is relatively stable and is utilizing the new transactions API, we should work on integrating an automated benchmark into sys-perf. It would probably be good to run this benchmark against both a 1-node and 3-node replica set, at least.""","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SERVER-32642","01/10/2018 20:52:53",2,"Return raw command response in the validate JS hook ""Modify {{CollectionValidator.validateCollections}} to return the raw command response to make the class more flexible.""","",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERVER-32825","01/22/2018 05:53:35",3,"Add the infrastructure for upgrade/downgrade of V2Unique indexes ""Addition of new index format allows use of both V2 and V2Unique format. Initially we would add a gating variable to select the unique index format. Switch to FCV as the deciding factor for which format should be used.     * Setting FCV=4.2 will cause all unique indexes to be updated to V2Unique. Do not update the content of the indexes.  * Having FCV=4.0 would create older V2 format indexes""","",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERVER-32883","01/24/2018 20:32:07",8,"Enhanced FSM testing for reading from secondaries ""1. Change the {{secondary_reads_passthrough.yml}} test suite which was added as part of SERVER-34384 to use the """"forceSyncSourceCandidate"""" failpoint as a server parameter to force secondary #2 to sync from secondary #1.    2. Add a new version of the {{concurrency_replication.yml}} test suite that uses a 5-node replica set with each secondary syncing in succession of each other (i.e. a linear chain), writeConcern=\{w: 1\}, readConcern=\{level: """"local"""", afterClusterTime: ...\}, and readPreference=\{mode: """"secondary""""\}. We'll also likely want to make a wrapper around a {{Mongo}} connection object to the primary and to a specific secondary so that an individual worker thread talks to a particular secondary all the time rather than some secondaries potentially never being read from.    {quote}  I think there's some additional complexity here because we want FSM worker thread to do reads from different secondary. (We'll probably pin it to a particular secondary similar to how we """"round-robin"""" when using multiple mongos processes.) It seems like we'll want to have a Mongo connection object implemented in JavaScript that for commands which are present in [this list|https://github.com/mongodb/mongo/blob/6841ce738419923002958acc760e150769b6f615/jstests/libs/override_methods/set_read_preference_secondary.js#L10-L23] are routed via a direct connection to the secondary and commands not present in that list are routed via a direct connection to the primary. I think the existing """"connection cache"""" in the concurrency framework makes it relatively straightforward to have direct connections to other nodes in the cluster.  {quote}    In creating this wrapper around two separate {{Mongo}} connection objects, we may also want to change how SERVER-34383 was implemented to construct a wrapper around a secondary's connection from the connection cache instead of creating a replica set connection for the worker thread.    h6. Original description    As part of SERVER-32606 it turned out that our testing of tailing the oplog on secondaries, including the case of chained replication, is light, while the code paths for secondary reads have gotten quite different now from reads on primaries.    We should have a passthrough test where we test these behaviors. This is related to SERVER-32606, but was too big a task to do as part of that ticket.""","",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SERVER-32997","01/30/2018 06:27:53",13,"Mobile SE: Design and implement multi-reader or single-writer concurrency ""SERVER-32675 resolved Mobile SE's some of the major issues with concurrency. I still see a few tests hitting either write conflicts or DB locked. These tests need to be investigated and a fix made accordingly. This ticket will track that effort.""","",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERVER-32999","01/30/2018 14:06:01",3,"Platform Support: remove Debian 7 ""[Debian 7 is going EOL soon|https://wiki.debian.org/LTS]. Opening a ticket to deprecate and ultimately remove this platform.""","",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SERVER-33002","01/30/2018 14:21:41",8,"Platform Support: add MacOS 10.13 (High Sierra) ""1. Add image and distro to evergreen  2. Run test build  3. Communicate availability to Storage  4. Once functional, we want to put this in rotation.   5. Review performance and open subsequent investigation ticket if makespan is substantially different""","",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SERVER-33146","02/06/2018 19:28:00",3,"mongod.service does not source system-wide environment variables as stated in the documentation ""Following the [Kerberos tutorial|https://docs.mongodb.com/manual/tutorial/control-access-to-mongodb-with-kerberos-authentication/#krb5-ktname] I am unable to configure the keytab environment variable for the rpm installed mongod.    The [service file|https://github.com/mongodb/mongo/blob/master/rpm/mongod.service] does not source /etc/sysconfig/mongod    As a workaround I modified the service file to include        ""","  Environment=""""KRB5_TRACE=/path/to/krb5.log""""  Environment=""""KRB5_KTNAME=/path/to/keytab""""  ",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SERVER-33149","02/06/2018 22:05:07",3,"createIndexes fails to report an error when index is not created with the specified name ""The createIndexes command fails to report an error when an index is not created with the specified name because an index already exists with the same keys but with a *different* name.""","",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERVER-33340","02/14/2018 21:21:18",8,"Turn on shared cache for non-shipping (non-push) builders ""We originally planned to test for two weeks - but we may be able to shorten this since we began testing with: SERVER-33278    linux-64-repeated-execution  linux-64-duroff  linux-64-lsm  enterprise-rhel-62-64-bit-inmem  linux-64-ephemeralForTest  ubuntu1404-rockdb  ubuntu1604-debug-asan  ubuntu1604-asan  enterprise-rhel-62-64-bit-coverage""","",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SERVER-33342","02/14/2018 21:23:38",3,"Turn on shared scons cache for shipping builders. ""enterprise-linux-64-amazon-ami  ubuntu1204  ubuntu1404  ubuntu1604  amazon  rhel62  rhel70  enterprise-ubuntu1204-64  enterprise-ubuntu1404-64  enterprise-ubuntu1604-64  enterprise-suse12-64  suse12  enterprise-suse11-64  suse11  enterprise-debian71-64  enterprise-debian81-64  debian71  debian81""","",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SERVER-33427","02/21/2018 20:35:36",2,"improve detectability of test failing because ShardingTest/ReplSetTest not shut down ""{quote}  > Max Hirschhorn Kevin Albertson, I noticed that failing to shut down a ShardingTest/ReplSetTest doesn't cause the test to log a """"failed to load"""" line or a javascript stack trace (which makes sense, since which line would you error on?).    As an outcome of SERVER-25777, the mongo shell could already exit with a non-zero return code without printing a """"failed to load"""" message.    > The line that _is_ logged (""""a call to MongoRunner.stopMongod(), ReplSetTest#stopSet(), or ShardingTest#stop() may be missing from the test"""") also isn't/can't be logged at LogSeverity::Error, since it's not logged by a server process (and which makes the log line contain """" E """", which is another thing I typically look for when a test fails without """"failed to load"""").  >   > It took some confusion and additional scrolling through the logs for me to realize why my new test was reporting failure when it seemed like the test ran to completion successfully. Just a thought, in case there's something that can be done to make this failure easier to detect.    Esha Maharishi, I think your confusion is understandable. The goal of the message was to make it more obvious to the user what the remediation ought to be. Since that message isn't being surfaced clearly enough, we should change the logic in the mongo shell so that it is.    I don't see a reason that the mongo shell must use {{cout}} for logging the """"exiting with a failure due to unterminated processes"""" message, so we could replace it with a call to {{severe()}} instead (and prefix the log message with 'F'). Do you think that would be sufficient for your purposes? Would you mind filing a new SERVER ticket for this improvement request?    > For example, even just moving the """"a call to MongoRunner.stopMongod(), ReplSetTest#stopSet(), or ShardingTest#stop() may be missing from the test"""" just before/after the """"Summary: 1 test(s) ran in 35.86 seconds (0 succeeded, 0 were skipped, 1 failed, 0 errored)"""" could help.    Those messages are logged by two different processes (the mongo shell with the former and resmoke.py with the latter) so that isn't really something we'd consider. A related feature in resmoke.py would be to have special handling around certain exit codes from known processes. This case in the mongo shell would be one, but a memory leak detected by ASan/LSan would be another.  {quote}    See comment thread on SERVER-25640; one good idea from that thread is to make the mongo shell log an error message at a more severe log level.""","",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERVER-33470","02/23/2018 19:22:50",1,"Log archival message, even if successful, in hook_test_archival.py ""The archival message is only logged if there is an [error submitting files for archive|https://github.com/mongodb/mongo/blob/e3f361769cd13ba88aa24c1c0a71c76b187f64dd/buildscripts/resmokelib/testing/hook_test_archival.py#L115-L116].    We should have a logger.info message even on success, as there could be files that were skipped during the tar process.""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERVER-33641","03/02/2018 22:02:38",3,"Call checkOplogs when checkReplicatedDataHashes fails ""We should do the following to improve the relevance of diagnostics we have in the face of data inconsistency issues:    # Update {{ReplSetTest#stopSet()}} to call {{ReplSetTest#checkOplogs()}} [in addition to {{ReplSetTest#checkReplicatedDataHashes()}}|https://github.com/mongodb/mongo/blob/r3.7.7/src/mongo/shell/replsettest.js#L2174-L2189]. Care should be taken to ensure that tests do not run significantly longer because they need to verify a large oplog when shutting down the replica set.  # Update the {{PeriodicKillSecondaries}} hook to run the {{CheckReplOplogs}} hook [in addition to the {{CheckReplDBHash}} and {{ValidateCollections}} hooks|https://github.com/mongodb/mongo/blob/r3.7.7/buildscripts/resmokelib/testing/hooks/periodic_kill_secondaries.py#L137-L147].    h6. Original description    We now save all of the data files, but it would be great if the test could check the oplogs automatically and note any differences.""","",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SERVER-33651","03/05/2018 00:30:42",1,"Mobile SE: Use full synchronous mode for SQLite writes ""SQLite allows some startup configuration options. The defaults should work for most of our use cases, but might still need some fine tuning. This ticket is to study the available options, and come up with any non default that might better suit us.    Also, at the conclusion of the ticket, update the design doc to specify these setting we come up with.""","",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERVER-33848","03/05/2018 18:40:43",2,"Update compile flags for sys-perf and performance projects ""MongoDB Community Server has had SSL support since 2.6 or 3.0, yet we weren't compiling with SSL support in sys-perf tests. Julian will fix that as part of his work.    We should review our compile code to make sure it reflects what is actually shipped to users. (Of course, we may have debug symbols and other differences, if they are intentional.)""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERVER-33695","03/06/2018 16:49:02",2,"Include the loop name in the before and after recovery files in powertest.py ""Powercycle rsyncs the data files before and after a recovery runs (mongod started after power cycle event). We should name the resulting directory to also include the loop number, i.e., {{beforerecovery-1}}. We can still use rsync, and then rename the directory.""","",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
