"issuekey","created","storypoint","context","codesnippet","t_Improvement","t_Bug","t_New.Feature","t_Story","c_Core","c_Titanium","c_Security","c_Verification","c_Registry","c_CLI","c_Installer","c_Node.Utilities","c_Documentation","c_Markdown"
"CLI-574","04/22/2015 09:12:55",3,"Login validation error message not passed through prompt from CLI Please refer to Studio ticket.  https://jira.appcelerator.org/browse/TISTUD-7325    Studio is listening to CLI through socket communication through request and response protocol model.  In case of Sign-in, If user is not provided any credentials and entered Ok, will get the proper error message from CLI. The response looks like below.    {""type"":""error"",""message"":""validate error: you must enter a value for the Appcelerator ID"",""question"":[{""type"":""input"",""name"":""username"",""message"":""Appcelerator ID:""},{""type"":""password"",""name"":""password"",""message"":""Password:""}]}    If user provided wrong credentials, then CLI is not returning the error message from the server. Response looks like below.    {""type"":""question"",""question"":[{""type"":""input"",""name"":""username"",""message"":""Appcelerator ID:""},{""type"":""password"",""name"":""password"",""message"":""Password:""}]}    Expected: CLI should send error message, so that same will be passed back to the studio user, they can able to see what went wrong.","",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"CLI-577","04/22/2015 17:53:45",5,"Need to add proxy logic to underlying appc process such as acs same as we're using here     https://github.com/appcelerator/appc-cli/blob/c0f602a2992ee27fbe8c7a1328eedec422f912a7/lib/constants.js#L200    this code above should reference APPC_CONFIG_PROXY env    and this code should be refactored    https://github.com/appcelerator/appc-cli/blob/7a134ba6a50624ea9046b1d7578547b8760b21ee/lib/commands/login.js#L511    we need the front-end and the appc cli to both respect the proxy.","",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"CLI-579","04/22/2015 19:57:43",5,"Errors updating Core CLI when Studio is open When trying to update the Core CLI from terminal (via {{appc use latest}} or {{appc setup}}) I get errors when Studio is open.    *Steps to reproduce issue*  1. Open Studio  2. Run {{appc use latest}} (do not already have the latest version installed)  -----------------------  3. Delete the latest folder from {{~/.appcelerator/install}}  4. Close Studio  5. Run {{appc use latest}}    *Actual Results*  2. Install of latest version fails  5. Install succeeds    *Expected Results*  Installs of latest version succeed    *Notes*  This makes it very difficult to install CLI updates from inside Studio.  I tested this many times. 10/10 installs succeeded with Studio closed, 10/10 installs failed with Studio open.","",0,1,0,0,1,0,0,0,0,0,0,0,0,0
"CLI-585","04/22/2015 21:49:07",3,"Can not login in Appcelerator Studio Can not login to Appcelerator Studio, I'm receiving the error:  ERROR | Required body parameter: userAgent missing  ","",0,1,0,0,1,0,0,0,0,0,0,0,0,0
"CLI-582","04/23/2015 08:10:51",2,"CLI prompts for login twice when --env option is given in the command The cli prompts twice for login when --env option is given during appc new or appc run command. However, if username and password are provided as part of the command then it prompts twice for organization even if a valid --org-id is also passed in the command    Steps to Reproduce:  1. Run the command ""appc new --env preproduction""    Actual Result:  The user is forced to enter username, password and organization selection two times.    ","  ssekhri-MBP:testing ssekhri$ appc whoami  Appcelerator Command-Line Interface, version 0.2.261  Copyright (c) 2014-2015, Appcelerator, Inc.  All Rights Reserved.    ssekhri@appcelerator.com in organization qe_test_org_preprod_team (100001710)  ssekhri-MBP:testing ssekhri$ appc new --env preproduction  Appcelerator Command-Line Interface, version 0.2.261  Copyright (c) 2014-2015, Appcelerator, Inc.  All Rights Reserved.    Appcelerator Login required to continue ...    ? Appcelerator ID: ssekhri@appcelerator.com  ? Password: ******  ? Into which organization would you like to login? qe_test_org_preprod_team  Appcelerator Login required to continue ...    ? Appcelerator ID: ssekhri@appcelerator.com  ? Password: ******  ? Into which organization would you like to login? qe_test_org_preprod_team  ? What type of project are you creating? (Use arrow keys)  ❯ Native App     Arrow App     Titanium Module   ",0,1,0,0,1,0,0,0,0,0,0,0,0,0
"CLI-586","04/23/2015 19:08:04",3,"Clean up appc new arguments Clean up the undefined arguments passed to titanium during app creation. This could cause problems.    ","  args [ 'create',    '-t',    'app',    '--platforms',    'all',    '--no-banner',    '--no-prompt',    '--workspace-dir',    '/Users/gmathews/github/appc',    undefined,    true,    '--log-level',    'info',    undefined,    true,    undefined,    'app',    undefined,    'titanium',    undefined,    'titanium',    '--name',    'testApp',    '--id',    'com.test',    '--project-dir',    '/Users/gmathews/github/appc/testApp',    '--url',    'unspecified' ]  ",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"CLI-588","04/24/2015 01:48:27",3,"Rebuilding an application for Android emulator fails h5.Description    When rebuilding an application for Android emulator using 0.2.269 the build exits with the following         Full logs are attached as fullOutput.txt     *If I set encryptJS to true [here|https://github.com/appcelerator/appc-cli-titanium/blob/master/hook/titanium.js#L147] then the build has no problems.*    h5.Steps To Reproduce    1. Create a new application using {{appc new}}  2. Build the application for Android using {{appc run -p android -T emulator}}  3. Rebuild the application for Android using {{appc run -p android -T emulator}}    h5.Actual Result    The build will fail with the output above     h5.Expected Result    The build should pass","  [INFO]  Generating i18n files  [INFO]  Generating /Users/eharris/Documents/sambotWorkspace/android/build/android/res/values/theme.xml  TRACE  | titanium exited with exit code 0  ",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"CLI-591","04/24/2015 22:20:00",2,"Build to an iOS device and then an iOS simulator fails h5.Description    When building an iOS app, if you build the app for device and then build the device for simulator the build for simulator will fail with the following error    {code: title=error 1}  [DEBUG] [ioslib] [ios-sim] [DEBUG] Session could not be started: Error Domain=NSPOSIXErrorDomain Code=22 ""Installation Failed"" UserInfo=0x7f916347ea40 {NSLocalizedDescription=Installation Failed, NSLocalizedRecoverySuggestion=An error occurred while preparing the app for installation (no bundle identifier was found at the expected path)}  [DEBUG] [ioslib] [ios-sim] Exited with code: 1  [ERROR] Project failed to build after 7s 726ms  [ERROR] An error occurred running the iOS Simulator (ios-sim exit code 1)      From what I see, if I wait the full time required for the rebuild (1 hour) then it seems to work fine.    Setting [this line|https://github.com/appcelerator/appc-cli-titanium/blob/master/hook/titanium.js#L146] to be true makes the build work everytime!    The fix for CLI-588 *does not fix this issue*    h5.Steps To Reproduce    1. Create a new application using {{appc new}}  2. Run the app on simulator using {{appc run -p ios -T simulator}}  3. Run the app on device using {{appc run -p ios -T device}}  4. Run the app on simulator using {{appc run -p ios -T simulator}}  5. Clean the app {{appc ti clean}}  6. Run the app on simulator using {{appc run -p ios -T simulator}}    h5.Actual Result    2. App will be built successfully  3. App will be built successfully  4. App will not be built successfully (see error 1)  6. App will not be built successfully (see error 2)      h5.Expected Result    App should be successfully every time","  [DEBUG] [ioslib] [ios-sim] [DEBUG] Session could not be started: Error Domain=NSPOSIXErrorDomain Code=22 ""Installation Failed"" UserInfo=0x7f916347ea40 {NSLocalizedDescription=Installation Failed, NSLocalizedRecoverySuggestion=An error occurred while preparing the app for installation (no bundle identifier was found at the expected path)}  [DEBUG] [ioslib] [ios-sim] Exited with code: 1  [ERROR] Project failed to build after 7s 726ms  [ERROR] An error occurred running the iOS Simulator (ios-sim exit code 1)    [DEBUG] Setting Info.plist CFBundleVersion to 1.0  [DEBUG] Setting Info.plist CFBundleShortVersionString to 1.0  TRACE  | titanium exited with exit code 0  ",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"CLI-604","04/29/2015 13:01:20",3,"ENOTEMPTY error when creating titanium project  Run the following command the first time, the project files are created in */Users/feonsua/work/sandbox1/sandbox2/sandbox3*  Run the command again, a classic project is created under */Users/feonsua/work/sandbox1/sandbox2/app1*, which is one directory up than what was being specified. Then the process is terminated with an error message.        This happens when the --project-dir specified is different from the project name.","  Feons-MacBook-Pro:~ feonsua$ appc new --type titanium --name app1 --id com.test --project-dir /Users/feonsua/work/sandbox1/sandbox2/sandbox3 --force  Appcelerator Command-Line Interface, version 0.2.273  Copyright (c) 2014-2015, Appcelerator, Inc.  All Rights Reserved.    ERROR  | ENOTEMPTY, directory not empty '/Users/feonsua/work/sandbox1/sandbox2/app1'  ",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"CLI-605","04/30/2015 05:35:05",5,"Attempt to retry when registry is not available For the appcelerator front-end (apps-install) need to retry when registry is unavailable.    Will try up to 10 times with each iteration waiting 500 x N (where N= is retry count)","",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"CLI-606","04/30/2015 07:26:39",5,"""appc -v"" should show both the NPM and active version When we're debugging user problems we ask them to make sure they're on the latest version of the appcelerator NPM package. But the only way to check is:        We should include both the NPM and active version with {{appc -v}}.        Q&A: https://community.appcelerator.com/topic/285/appc-setup-causing-error-with-exit-code-1/2","  $ npm list -g --depth 0 appcelerator    $ appc -v  npm: 0.3.51  cli: 0.2.273  ",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"CLI-607","04/30/2015 20:16:05",1,"Creating a project with an invalid session errors out after logging in h5.Description    After a session has been invalidated due to logging in on a different machine when creating a new project the CLI will prompt you to login again and authorize your hardware. After logging in the project creation fails with the below.        Just before this error when running with -l trace the following is output, it appears that the session that the CLI is using in not a valid session.         Full output is attached as fullOuput.txt    *When running {{appc new}} after this failure it does not fail*    h5.Steps To Reproduce    1. Login on machine Y {{appc login}}  2. Login on machine X {{appc login}}  3. Create an app on machine X {{appc new}}  4. Create an app on machine Y {{appc new}}  5. Login when prompted    h5.Actual Result    The project creation will error out with the above    h5.Expected Result    The project creation should be successful ","  ERROR  | Error      at Request._callback (/Users/eharris/.appcelerator/install/0.2.274/package/node_modules/appc-cli-titanium/plugins/new.js:305:23)      at Request.self.callback (/Users/eharris/.appcelerator/install/0.2.274/package/node_modules/request/request.js:368:22)      at Request.emit (events.js:98:17)      at Request.<anonymous> (/Users/eharris/.appcelerator/install/0.2.274/package/node_modules/request/request.js:1219:14)      at Request.emit (events.js:117:20)      at IncomingMessage.<anonymous> (/Users/eharris/.appcelerator/install/0.2.274/package/node_modules/request/request.js:1167:12)      at IncomingMessage.emit (events.js:117:20)      at _stream_readable.js:944:16      at process._tickCallback (node.js:448:13)    sending app post { method: 'post',    json:      { session: 'a9adbc3a5dea29d6a17823ad6a6ceb215ca50cae sa1eZdG82mfMMvDxYxpD4WPbTNpTT6X+p+J4YqfKjNyPXmd1KgNgAmXZvO/SmyFxarxxKT359VcElJm4YR1RhTAQTQrHEehfRFbtWCqyiU0QnGRyK7LnB/+eC0vAD+EpnnCaQ8WWOdLXisvrh77+jqwr+mEuwL2NIQMRoiGxR3E0eeiBpawTFHmI5Xl8Rebn5PRovXCqThbKmoMeg7wTO0rHIdzNY9M9+ju5HXLUID2v+kCUWHVB3aF9hsJeP/Ph/1eV4jLSte5jsJmrRUsXBhMcXBe9YVjQ3Il+9WHYN7DxQ/1tTAT5a1Ym18DO1hc0SCjiH3Fwoc5GrAiAo1RlWvepNpM5dU1w5HapoT0o1N9m9P/tRdi7s4LQJvS1x2lA1t2birl2lM1KrGkFiuDd8N17eLsSRaV2fC3pC1+0oo4+9QpNrY+XzsMYhhhll2LGN8sbLY1T2zCtqMrzgabE0O2Q8/8aR/v8Ct9gBnVr/PpkgwX/SW27rfHaHEsRdhA7IFlf63vPsD2zkuRLsuOY4xPIG0mhrZoPxUIqfukqzP9R3DoR/TebediC+FdAu2I0rAzorPn89WsaxujxRM5JMec1x3aqw/EJX7v3jZn86W4dtDxsqkqdRu0qziK5hCRZ+1DnjUTh1Uq9SPwjZTH+BkWH2Gc6KDLHvQHka3QNprvq5eYS2GXUSu8sYzl5xaOmXOO820ksTPFBqWclTbg0uwLj5HgCn3Ck01u/XFKyNkThBXTv//InHE6wJR+ypjMrxG0zyqwRW/DlvBHztmzlABpwXGaP0BYVRide0hnoZ2o=',       tiapp: '<?xml version=""1.0"" encoding=""UTF-8""?><ti:app xmlns:ti=""http://ti.appcelerator.org"">\r\n\t<id>com.appc.testApp123</id>\r\n\t<name>testApp123</name>\r\n\t<version>1.0</version>\r\n\t<publisher>not specified</publisher>\r\n\t<url>unspecified</url>\r\n\t<description/>\r\n\t<copyright>not specified</copyright>\r\n\t<icon>appicon.png</icon>\r\n\t<fullscreen>false</fullscreen>\r\n\t<navbar-hidden>false</navbar-hidden>\r\n\t<analytics>true</analytics>\r\n\t<guid>2760f5af-3b92-451b-94e6-4c21d1088da6</guid>\r\n\t<property name=""ti.ui.defaultunit"" type=""string"">dp</property>\r\n\t<ios>\r\n\t\t<plist>\r\n\t\t\t<dict>\r\n\t\t\t\t<key>UISupportedInterfaceOrientations~iphone</key>\r\n\t\t\t\t<array>\r\n\t\t\t\t\t<string>UIInterfaceOrientationPortrait</string>\r\n\t\t\t\t</array>\r\n\t\t\t\t<key>UISupportedInterfaceOrientations~ipad</key>\r\n\t\t\t\t<array>\r\n\t\t\t\t\t<string>UIInterfaceOrientationPortrait</string>\r\n\t\t\t\t\t<string>UIInterfaceOrientationPortraitUpsideDown</string>\r\n\t\t\t\t\t<string>UIInterfaceOrientationLandscapeLeft</string>\r\n\t\t\t\t\t<string>UIInterfaceOrientationLandscapeRight</string>\r\n\t\t\t\t</array>\r\n\t\t\t\t<key>UIRequiresPersistentWiFi</key>\r\n\t\t\t\t<false/>\r\n\t\t\t\t<key>UIPrerenderedIcon</key>\r\n\t\t\t\t<false/>\r\n\t\t\t\t<key>UIStatusBarHidden</key>\r\n\t\t\t\t<false/>\r\n\t\t\t\t<key>UIStatusBarStyle</key>\r\n\t\t\t\t<string>UIStatusBarStyleDefault</string>\r\n\t\t\t</dict>\r\n\t\t</plist>\r\n\t</ios>\r\n\t<android xmlns:android=""http://schemas.android.com/apk/res/android"">\r\n\t</android>\r\n\t<mobileweb>\r\n\t\t<precache>\r\n\t\t</precache>\r\n\t\t<splash>\r\n\t\t\t<enabled>true</enabled>\r\n\t\t\t<inline-css-images>true</inline-css-images>\r\n\t\t</splash>\r\n\t\t<theme>default</theme>\r\n\t</mobileweb>\r\n\t<modules>\r\n\t</modules>\r\n\t<deployment-targets>\r\n\t\t<target device=""android"">true</target>\r\n\t\t<target device=""ipad"">true</target>\r\n\t\t<target device=""iphone"">true</target>\r\n\t\t<target device=""mobileweb"">true</target>\r\n\t</deployment-targets>\r\n\t<sdk-version>4.0.0.v20150430090209</sdk-version>\r\n<plugins><plugin version=""1.0"">ti.alloy</plugin>\n</plugins>\n</ti:app>' },    gzip: true,    url: 'https://de7a3ab4b12bf1d3d4b7fde7f306c11bc2b98f67.cloudapp-enterprise-preprod.appctest.com/app' }  app post response { success: false,    error: 'invalid session',    code: 'com.appcelerator.security.invalid.session' }  done with plugin [Error]  ",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"CLI-609","05/02/2015 00:48:12",1,"Improve password masking for appc-logger see https://github.com/appcelerator/appc-cli/pull/145","",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"CLI-610","05/02/2015 00:51:45",1,"Device authorization code is referred to with two different terms when authorizing hardware h5.Description    When authorizing a new machine you will be prompted with the following        And then when selecting how you would like to receive the code you will be prompted with the following        The code should only be referred to as an authorization code, or an activation code. Preferably an authorization code as that is what it is    h5.Steps To Reproduce    1. Logout of your machine with {{appc logout -D}}  2. Login with {{appc login}}  3. Run through the prompts    h5.Actual Result    The device auth code will be referred to using two different terminologies     h5.Expected Result    The device auth code should only be referred to using one terminology ","  ? Confirm with authorization code to Email or Phone/SMS? SMS to <notMyPhoneNumber>    An authorization code was sent to your phone at <notMyPhoneNumber>    ? Please enter the activation code you received via your phone at <notMyPhoneNumber>: <notAuthCode>  ",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"CLI-611","05/02/2015 00:59:50",1,"Auth code is always required on login after session is invalidated h5. Description  Whenever a user logs in on a machine after having a session invalidated, an auth code will be required when logging in.    For example:  # Log in to CLI on machine 1 using auth code    # Log in to CLI on machine 2 using auth code    # Attempt to use CLI on machine 1, session will be expired but an auth code will also be requested again      h5. Actual behaviour  A user needs to enter an auth code every time they log in to the CLI after their session is invalidated    h5. Expected behaviour  A user will only need to enter an auth code the first time they log in from a machine","  $ appc login  Appcelerator Command-Line Interface, version 0.2.275  Copyright (c) 2014-2015, Appcelerator, Inc.  All Rights Reserved.    Your session has expired. Please log in again    Appcelerator Login required to continue ...    ? Appcelerator ID: nboxhallburnett@appcelerator.com  ? Password: *********  ? Into which organization would you like to login? qe_test_org_preprod_team    This computer must be authorized before you can complete your login.    ? Confirm with authorization code to Email or Phone/SMS? Email to nboxhallburnett@appcelerator.com    An authorization code was sent to your email at nboxhallburnett@appcelerator.com    ? Please enter the activation code you received via your email at nboxhallburnett@appcelerator.com: 4867    This computer is now authorized: Mac OSX Serial Number: C02HX4TMDV35  You can deauthorize this computer by logging out with appc logout    Generating Developer Certificate and Private/Public Keys...  nboxhallburnett@appcelerator.com in organization qe_test_org_preprod_team (100001710)    $ appc login  Appcelerator Command-Line Interface, version 0.2.275  Copyright (c) 2014-2015, Appcelerator, Inc.  All Rights Reserved.    Appcelerator Login required to continue ...    ? Appcelerator ID: nboxhallburnett@appcelerator.com  ? Password: *********  ? Into which organization would you like to login? qe_test_org_preprod_team    This computer must be authorized before you can complete your login.    ? Confirm with authorization code to Email or Phone/SMS? Email to nboxhallburnett@appcelerator.com    An authorization code was sent to your email at nboxhallburnett@appcelerator.com    ? Please enter the activation code you received via your email at nboxhallburnett@appcelerator.com: 8897    This computer is now authorized: Mac OSX Serial Number: C07JM0CMDY3J  You can deauthorize this computer by logging out with appc logout    Generating Developer Certificate and Private/Public Keys...  nboxhallburnett@appcelerator.com logged into organization qe_test_org_preprod_team [100001710]    $ appc whoami -f  Appcelerator Command-Line Interface, version 0.2.275  Copyright (c) 2014-2015, Appcelerator, Inc.  All Rights Reserved.    Your session has expired. Please log in again    Appcelerator Login required to continue ...    ? Appcelerator ID: nboxhallburnett@appcelerator.com  ? Password: *********  ? Into which organization would you like to login? qe_test_org_preprod_team    This computer must be authorized before you can complete your login.    ? Confirm with authorization code to Email or Phone/SMS? Email to nboxhallburnett@appcelerator.com    An authorization code was sent to your email at nboxhallburnett@appcelerator.com    ? Please enter the activation code you received via your email at nboxhallburnett@appcelerator.com: 4867    This computer is now authorized: Mac OSX Serial Number: C02HX4TMDV35  You can deauthorize this computer by logging out with appc logout    Generating Developer Certificate and Private/Public Keys...  nboxhallburnett@appcelerator.com in organization qe_test_org_preprod_team (100001710)  ",0,1,0,0,1,0,0,0,0,0,0,0,0,0
"CLI-612","05/02/2015 02:35:14",1,"Support logging in to VPC environment When one or more VPC environments are configured for an organization, need to allow the user to be able to select the environment to log in.  Currently, logs into the production Node.ACS / ACS environment instead of one provided.","",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"CLI-613","05/05/2015 01:24:31",1,"If you create an Arrow project with an existing name, then ""ERROR  | { errcode: 230, statusCode: 400 }"" is returned *Details:* If you create an Arrow project with an existing name, then ""ERROR  \| \{ errcode: 230, statusCode: 400 \}"" is returned.    *Note:*  * This is a *regression* since this does not occur with Appc CLI 0.2.276; released in the wild  * This is *not a cloud issue* since this bug is reproducible if you point Appc CLI 0.2.279 to production    *Steps to reproduce:*  # Run {{appc new}}  # Select *Arrow App*  # Specify an Arrow project name that already existed    *Actual:* ""ERROR  \| \{ errcode: 230, statusCode: 400 \}"" message is returned.  *Expected:* ""ERROR  | App <APP_NAME> already exists."" message should appear instead.","",0,1,0,0,1,0,0,0,0,0,0,0,0,0
