"issuekey","created","storypoint","context","codesnippet","t_New.Feature","t_Bug","t_Improvement","t_Task","c_Valdator.Server","c_Go.SDK","c_Packaging","c_XO.Family","c_Documentation","c_Validator.Global.State","c_Settings.Family","c_sawtooth.core","c_Validator.Txn.Execution","c_Continuous.Integration","c_REST.API","c_Javascript.SDK","c_Python.SDK","c_PoET","c_Supply_Chain","c_Validator.Journal","c_OMI.Summer.Lab","c_Hyperledger","c_sawtooth.CLI","c_Validator.Networking","c_Burrow.EVM","c_Java.SDK","c_Private.Transaction","c_Design","c_C...SDK","c_Poet2"
"STL-93","05/04/2017 17:49:58",3,"Update xo tests ""The xo TP and smoke tests don't test very much right now. xo smoke, for instance, verifies that nothing breaks when xo is run, but doesn't do any state checking at all [1]. They should be more extensive.    [1] In this sense it's a true smoke test: """"The phrase smoke test comes from electronic hardware testing. You plug in a new board and turn on the power. If you see smoke coming from the board, turn off the power. You don't have to do any more testing.""""""","",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-97","05/05/2017 00:36:12",1,"Clarify Python REST instructions are for Python 3 ""The instructions for submitting a transaction to the REST API from a python client are Python 3 specific, but do not state the Python version requirement.  In Python 2.7, these instructions result in an error:    The page should clearly indicate that it is for Python 3."""," Python 2.7.12 (default, Nov 19 2016, 06:48:10) [GCC 5.4.0 20160609] on linux2 Type """"help"""", """"copyright"""", """"credits"""" or """"license"""" for more information. >>> import secp256k1 >>> >>> key_handler = secp256k1.PrivateKey() >>> private_key_bytes = key_handler.private_key >>> public_key_bytes = key_handler.pubkey.serialize() /usr/local/lib/python2.7/dist-packages/secp256k1/__init__.py:228: UserWarning: implicit cast from 'char *' to a different pointer type: will be forbidden in the future (check that the types are as you expect; use an explicit ffi.cast() if they are correct)   self.ctx, res_compressed, outlen, self.public_key, compflag) >>> >>> public_key_hex = public_key_bytes.hex() Traceback (most recent call last):   File """"<stdin>"""", line 1, in <module> AttributeError: 'str' object has no attribute 'hex' ",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-103","05/05/2017 15:17:26",2,"In docs, code blocks which include source files have many empty lines ""In our documentation, use of literalinclude results in empty lines at the end of the block (see attached image).   """," .. literalinclude:: ../../../protos/batch.proto    :language: protobuf    :caption: File: protos/batch.proto    :linenos: ",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-104","05/05/2017 15:45:45",1,"Fix xo state format to handle hash collisions ""Currently, the xo examples do not handle possible hash collisions.  Instead, we have warnings like the following in xo python:    Since we use xo for our tutorials, we should provide a correct implementation which stores a list of games at the address instead of a single game, thus handling hash collisions properly.  Note that this will require an update to all xo TP implementations as well as any impacted documentation.""","             # NOTE: Since the game data is stored in a Merkle tree, there is a             # small chance of collision. A more correct usage would be to store             # a dictionary of games so that multiple games could be store at             # the same location. See the python intkey handler for an example             # of this.             if stored_name != name:                 raise InternalError(""""Hash collision"""") ",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-114","05/05/2017 17:36:43",1,"Publish stable docs as default, with docs from master at a sub-url ""Currently, our published documentation is not in-sync with our stable debian packages and stable docker images.  This is causing app developer confusion.  Instead, we should publish stable documentation at the same time we publish the debian/docker artifacts.  We should also generate master as we do now, but in a different URL (similar to what we do for 0.7).""","",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-131","05/08/2017 05:02:46",1,"Refactor - create MockConsensusState() ""Create a MockConsensusState() to eliminate duplicate code in most tests in test_consensus.""","",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"STL-132","05/08/2017 05:06:50",3,"PoET Fork Resolver - current & new fork heads are both PoET blocks  ""- current fork head and new fork head previous blocks are the same (i.e., they both build on the same block)   - current fork wait certificate duration < new fork wait certificate duration   - current fork wait certificate duration > new fork wait certificate duration   - current fork wait certificate duration == new fork wait certificate duration   - current fork header signature > new fork header signature   - new fork header signature >= current fork header signature   - current fork head and new fork head previous blocks are not the same   - current fork consensus state aggregate local mean > new fork consensus state aggregate  local mean + new fork wait certificate local mean   - current fork consensus state aggregate local mean < new fork consensus state aggregate  local mean + new fork wait certificate local mean   - current fork consensus state aggregate local mean == new fork consensus state aggregate  local mean + new fork wait certificate local mean   - current fork header signature > new fork header signature   - new fork header signature >= current fork header signature""","",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"STL-133","05/08/2017 05:08:30",5,"PoET Block Publisher - initialize_block() Failure & Success Cases ""- Verify that it returns False if the validator does not have an entry in the validator registry   - Verify that it returns False if the PoET public key in the validator registry is not current   - Verify that it returns False if the K (block claim count) test fails   - Verify that it returns False if the validator sign up info was committed too late   - Verify that it returns False if the C policy (block claim delay) test fails   - Verify that it returns False if the Z policy (block claim frequency) test fails   - Verify that it returns True if the validator passes all the tests above""","",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"STL-134","05/08/2017 05:13:13",2,"PoET Fork Resolver - current & new fork heads are not PoET blocks ""Test conditions:  Current fork head is not a PoET block  New fork head is not a Poet block   - new fork head builds directly on top of it (i.e., the new fork head has the current fork head as its previous block)   - new fork head does not build directly on top of it""","",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"STL-135","05/08/2017 05:19:22",2,"PoET Block Publisher - claim readiness if the wait timer has expired ""Check that PoET Block Publisher claims readiness only when it is time to claim the current candidate blocks - the wait timer has expired.  check_publish_block()  return self._wait_timer.has_expired(now=time.time())""","",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"STL-143","05/08/2017 16:43:34",2,"Remove Dependency on kwargs in PoET Enclave Simulator ""The PoET simulator enclave still is dependent upon the old configuration model (i.e., passing all configuration via kwargs dictionary).  This dependency needs to be removed and the PoET simulator needs to be updated to use either the new config transaction family or the new local configuration being work on by [~dan.middleton@intel.com].""","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"STL-144","05/08/2017 16:45:34",1,"Make Setting the IAS Enclave Measurement Configurable for PoET consensus ""Currently, the validator registry transaction processor and the PoET enclave simulator use a predetermined enclave measurement to check against the attestation verification report. The SGX enclave checks against its own enclave measurement value.    This enclave measurement value needs to be configurable.""","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"STL-146","05/08/2017 16:47:18",1,"Make Setting the IAS Enclave Basename Configurable for PoET Consensus ""Currently, the validator registry transaction processor and the PoET enclave simulator use a predetermined enclave basename to check against the attestation verification report. The SGX enclave checks against its own enclave basename value.    This enclave basename value needs to be configurable.""","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"STL-147","05/08/2017 16:49:26",3,"Make Setting the IAS REPORT_PUBLIC_KEY_PEM Configurable for PoET Consensus ""Currently, the validator registry transaction processor and the PoET enclave simulator use a predetermined IAS verification key to check attestation verification report signature.    This IAS verification key needs to be configurable.""","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"STL-148","05/08/2017 16:51:20",1,"Remove Signup Information Verification from PoET Enclave Simulator ""Signup information is verified in the validator registry transaction processor, removing the need to verify it in the enclave.""","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"STL-153","05/08/2017 18:27:03",5,"Create yaml based scheduler test ""With this test (framework) it will be possible to test correctness on any scheduler implementation by writing a yaml file using particular data (The test framework will create transactions and batches and mark transaction as valid or invalid as specified by the yaml). The test of correctness is that the correct merkle root is available in the scheduler for the block production/validation component to query.""","",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-155","05/08/2017 19:17:08",1,"Complete rebasing of Python Txn Tutorial ""The Python tutorial/guide for writing a transaction processor (NML-2432) is mainly complete, but is divided into two PR's due to a process anomaly.     Get the commits in the PR's merged into a single PR and clean up.     ""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-157","05/08/2017 19:30:49",1,"App Dev Guide: Writing Transaction Processors-JavaScript ""Partially done fro NML-2436.    Use specially written JavaScript code fragments to insert into tutorial template already created.      ""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-159","05/08/2017 20:40:49",2,"Handle Validator Disconnects ""Handle validator disconnect events in the Go SDK correctly.    When the validator is restarted, the Go SDK does not re-connect.  Expected behavior is that a restart of the validator should not require restarting the TPs such as intkey go.""","",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-160","05/08/2017 20:59:24",3,"Update Poet WaitTimer and WaitCertificate Tests ""Create mock_poet_enclave_wait_timer and mock_poet_enclave to allow faster testing without using sleeps.     include Jamie on the review.""","",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-185","05/10/2017 20:36:28",1,"xo create should send a friendly response after waiting ""Creating a game with xo currently prints out a raw JSON response from the REST API. It should instead wait for the block to commit, and then print a friendlier XO-specific confirmation.""","",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-188","05/11/2017 18:30:07",2,"Fix PoET Block Publisher State Persistence ""The PoET block publisher uses one or more class variables to persist state across creation of PoET block publisher objects.  While this works, it is quite ugly when it comes to devising unit tests.  This """"global"""" state needs to be persisted in a better way.  Of highest importance is keeping track of the current PoET public key, which can probably be persisted in the PoET Key Store, an already existing global state persistence used by the PoET block publisher.""","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"STL-194","05/12/2017 04:33:50",2,"App Dev Guide should not reference git or require git clone of sawtooth-core repository ""Currently, the Application Developer's guide's Environment Setup section for Docker requires the user to clone the git repository.    Instead, the guide should provide a link to download the compose file from the documentation.  The cleanest approach would probably be to copy the yaml file into the app dev guide directory within the Makefile, then link to that file.    This may be a bit tricky for PDF generation.  In that instance, we will want to link to the file on github or in-line the file within the PDF text itself. Sphinx-doc allows for format conditionals.""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-195","05/12/2017 05:39:22",3,"App Dev Guide flow is confusing when using docker ""The Environment Setup section describes how to startup a sawtooth environment easily with Docker.  This is probably the easiest/best option for most application developers.    The """"Getting Started with Hyperledger Sawtooth"""" section describes things in a way that would be more appropriate for native Ubuntu installs or vagrant.  For example, when using Docker, you do not manually startup the validator or worry about genesis block creation as it is done for you in the docker compose file.    Some of this content should be rewritten and generalized.  Other portions of the content should move into the Ubuntu install section of the Environment Setup guide.  (Similar to how we show docker compose up/down, we could show basic operations when installing via deb packages.)""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-196","05/12/2017 05:47:48",1,"App Dev Guide has duplicate sections for transaction family tutorial ""The Application developer guide has both a top-level section called 'Transaction Family Tutorial' as well as the Python SDK/Transaction Processor Tutorial Python.  There should only be one TF tutorial section for python.""","",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-197","05/12/2017 05:54:44",2,"App Dev Guide's Transaction Processor Tutorial Python is vagrant specific ""The """"Transaction Processor Tutorial Python"""" contains vagrant-specific instructions, which are invalid in this context (vagrant is a core guide topic).  This includes path references to /project, for example.  This needs to be cleaned up so it makes sense in terms of the environment setup provided in the Application Development Guide.""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-198","05/12/2017 06:00:14",2,"App Dev Guide's Transaction Processor Tutorial lacks xo CLI examples ""The tutorial as it currently exists covers the creation of a transaction processor, for which we have a full implementation to serve as an example.    Instead of ending as it does currently, the tutorial should continue by showing some client examples as well, including game play using the xo CLI.    This could potentially change the tutorial from a transaction processor tutorial to a more comprehensive application development tutorial covering transaction processor and client-side transaction submission and state viewing.""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-209","05/12/2017 18:58:14",1,"Remove PoET as a Service ""The PoET as a Service code should be removed from the repo.""","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"STL-213","05/16/2017 01:36:40",1,"Docker compose_client_1 image should initialize user keys ""After starting a network with:        and logging into compose_client_1:        the user is required to run 'sawtooth keygen' prior to using commands like 'xo':        It would be a better experience if keys were pre-generated.    Presumably we would not want these keys to be distributed with the image, but rather generated when doing the docker-compose up.  ""","  docker-compose -f docker/compose/sawtooth-demo.yaml up    docker exec -it compose_client_1 bash    root@7b6f84c67e9e:/# xo create game000  Traceback (most recent call last):    File """"/usr/lib/python3/dist-packages/sawtooth_xo/xo_client.py"""", line 43, in __init__      with open(keyfile) as fd:  FileNotFoundError: [Errno 2] No such file or directory: '/root/.sawtooth/keys/root.priv'    During handling of the above exception, another exception occurred:    Traceback (most recent call last):    File """"/usr/lib/python3/dist-packages/sawtooth_xo/xo_cli.py"""", line 356, in main_wrapper      main()    File """"/usr/lib/python3/dist-packages/sawtooth_xo/xo_cli.py"""", line 339, in main      do_create(args, config)    File """"/usr/lib/python3/dist-packages/sawtooth_xo/xo_cli.py"""", line 274, in do_create      keyfile=key_file)    File """"/usr/lib/python3/dist-packages/sawtooth_xo/xo_client.py"""", line 47, in __init__      raise IOError(""""Failed to read keys."""")  OSError: Failed to read keys.  ",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-219","05/16/2017 15:50:19",2,"Test Javascript SDK client modules in browser ""Test the Javascript SDK Client module in the browser, using at least one of Browserify or Webpack.     * Ensure that the client functionality works via the REST API.   * Verify that the signing libraries work in browser ""","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-223","05/16/2017 20:00:19",5,"Provide State Delta Export Proxy Over Web Sockets ""Extend the Rest API component to provide State Export Deltas over a WebSocket.     Proposed solution here would be to have the REST API component subscribe to all state delta events.      Any client connecting via a websocket would interact in the following way:        # Send last known block id and address prefixes   # Receive State Delta Event    The rest api would manage the filtering, and the catch-up, but the clients should not need to send unregister messages, as this is simply a consequence of the WS closing.""","",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-225","05/16/2017 22:08:55",2,"App Dev Guide needs pointers to pages describing docker proxy configuration ""The application developer guide should provide links to resources which help the app developer configure proxies when using docker-compose.    This should cover at least Windows and MacOS proxy configuration, and perhaps Linux.""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-228","05/16/2017 22:16:19",1,"Rename compose file sawtooth-demo.yaml to sawtooth-default.yaml ""The word 'demo' should be avoided in this context; this is our recommended starting point for app developers  .""","",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-230","05/16/2017 22:31:00",1,"App Dev Guide's docker install section needs more detail ""The current docker installation section provides a bare minimum of links and help.    While we do not want to document docker itself, we should provide more assistance in finding the right information to get docker and docker compose installed such that the rest of our docker-compose instructions will work.""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-242","05/17/2017 22:08:45",1,"Rename Config Transaction Family ""Rename {{sawtooth-config}} family to something more representative of the fact that it is a reference implementation.""","",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-245","05/18/2017 02:38:28",1,"PoET Block Publisher - finalize_block() success case  ""Check that PoET block finalze_block() only finalizes a block to be claimed when the candidate block is good and should be generated.     Check if the wait_certificate was correctly created.""","",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"STL-246","05/18/2017 02:46:46",1,"It is the BlockPublisher that sends the block out through Gossip, not Consensus.BlcokPublisher ""The journal diagram in [http://intelledger.github.io/architecture/journal.html] has a bug, that diagram shows an arrow from Consensus.BlcokPublisher to Gossip, but it is  is the BlockPublisher that sends the block out through Gossip.""","",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"STL-247","05/18/2017 04:15:35",1,"Rename the config transaction family to settings transaction family ""The term 'config' is overloaded, in that we have used it for two purposes: 1) off-chain file-based configuration; and 2) on-chain configuration.    To assist with this, we could rename the config transaction family to 'settings'.  In usual conversation, 'config' would refer to file-based configuration and 'settings' to on-chain settings.    This should be discussed and approved by the maintainers prior to implementation.""","",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
