"issuekey","created","storypoint","context","codesnippet","t_Story","t_Technical.task","t_Bug","t_Improvement","t_Epic","c_Runtime","c_Analytics","c_Ingest","c_Packaging","c_Batch","c_Export","c_Hadoop","c_Documentation","c_CLI","c_DSL","c_Testing","c_Performance.Testing","c_Stream.Module","c_Acceptance.Testing","c_UI","c_REST","c_Configuration","c_YARN.Runtime"
"XD-152","05/30/2013 08:23:50",5,"Create rich gauge module ""Spring config for rich gauge plus message handler to coerce a numeric or string payload to a double.""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-153","05/30/2013 08:26:06",5,"create a gauge module ""Spring config for simple gauge plus message handler to process message. There is some code common to RichGaugeHandler to coerce the payload to a double that should be refactored for reuse.""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-154","05/30/2013 08:32:19",2,"Provided console output of started server ""Shouldn't we have something like a ContextRefreshedEvent Listener and output some informational messages to the console, so the user knows the Container is up (Which contexts. Maybe even print a link to the docs))? Maybe even some simple ascii art (for demos)? Right now it looks somewhat barren.  Redis provides something similar.  This may even go hand in hand to provided a better configuration model (storing common config parameters centrally)   ""","    _____            _              __   _______     / ____|          (_)             \ \ / /  __ \   | (___  _ __  _ __ _ _ __   __ _   \ V /| |  | |   \___ \| '_ \| '__| | '_ \ / _` |   > < | |  | |   ____) | |_) | |  | | | | | (_| |  / . \| |__| |  |_____/| .__/|_|  |_|_| |_|\__, | /_/ \_\_____/          | |                  __/ |                        |_|  v1.0.0.M1      |___/   eXtreme Data  Using Redis at localhost:6379     The Server (PID: 12345) is now ready on http://myserver:123/streams  Documentation: https://github.com/SpringSource/spring-xd/wiki         ",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-155","05/30/2013 10:26:00",5,"Add a groovy script processor module ""A processor module that accepts either the location of a groovy script resource or an inline script (string). Also some discussion about a default classpath location for scripts. ""","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-156","05/30/2013 10:35:14",2,"Create config support for Redis ""We would like to have Redis driven from a config property file under XD_HOME.""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-159","05/30/2013 12:46:58",1,"Parameter parsing does not work if an argument contains '--'. ""Parameter parsing does not work if an argument contains '--'.  For example:    Also, I was surprised that this worked..    ... but this didn't...    I think we need to tokenize the argument (with ' if contains spaces) and remove any surrounding '...' from the result. This means if someone wants a SpEL literal they would have to use something like     resulting in a SpEL literal 'Hello, world!'"""," ... | transform --expression=42 | transform --expression=--payload |...  | transform --expression=new StringBuilder(payload).reverse() |  | transform --expression='new StringBuilder(payload).reverse()' | --expression=''Hello, world!''",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"XD-164","05/31/2013 08:46:30",2,"Validate processing modules declare the required channels ""Validate that modules have required channels declared according to their type.  Currently the stream deployer accepts processors with no input, but the stream doesn't complete. We should fail earlier and more loudly.""","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-166","05/31/2013 15:58:00",3,"Create config support based on channel registry type ""We need to have the XD container & admin reading the registry specific property based on the registry type selected.   From Mark F, on one of the code review comments:  Maybe rather than having redis, rabbit, etc. properties all within a container.properties we should rely upon naming conventions instead. Specifically, we could have a single configurable property for the type of channel registry (""""redis"""", """"rabbit"""", or """"local"""" being possible values), and then we could use something like:  <import resource=""""config/${registry.type}.xml""""/>  <context:property-placeholder location=""""config/${registry.type}.properties""""/>""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-170","06/03/2013 10:50:44",2,"Home wiki page improvements ""Add more structure, more easily find the reference guide.  The style that is here  https://github.com/snowplow/snowplow/wiki is nice. ""","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"XD-176","06/03/2013 12:19:38",2,"Support exponential moving average in RichGauge  ""This could easily be supported in the existing gauge by adding a setAlpha method to RichGaugeService and adding the extra parameter """"alpha"""" to the gauge data (https://en.wikipedia.org/wiki/Exponential_moving_average). If not set it would default to the current behaviour (simple mean), otherwise it would calculate the exponential moving average in place of the mean.""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-178","06/03/2013 13:55:23",1,"DefaultContainer should have a default constructor that generates a UUID ""The current incrementAndGet approach based off redis will not easily be applicable in local model deployment""","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-179","06/03/2013 13:57:55",1,"Have three startup scripts, xd-singlenode, xd-admin, and xd-container ""The xd-singlenode script will launch a main application that creates both the admin node (to process http admin requests) and the container node (to execute modules for data processing) within in the same process   the xd-admin script will launch a main application that creates only the admin node (remove current embeddedContainer options)  the xd-container script will launch a main application that creates only the container node (as it is now)""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-180","06/03/2013 14:04:09",1,"The command line for xd-admin and xd-container to support an additional option, pipeProtocol, that is used to determine the middleware for sending admin requests and data between processing steps ""The name 'pipeProtocol' is tentative.    1. The command line scripts for xd-admin and xd-container would support a --pipeProtocol option, with the default being to use Redis.  (Otherwise use xd-singlenode). 2. The xd-admin and xd-container scripts will use the value of pipeProtocol to set the java system property xd.pipeProtocol when launching the app. ""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-181","06/03/2013 14:07:37",3,"Update launcher.xml to have protocol independent beans defined and an import statement to load protocol specific defintiions from a system property defined location. ""launcher.xml can make use of the system property xd.pipeProtocol inside an import statement.  This determines which version of the XD infrastructure to load, for example what ChannelRegistry implementation, Local or Redis based, or specific message listener containers.   File name conventions should be used, so if the option passed in from the command line is --pipeProtocol localChannel  then the XML filename looked for has the 'Protocol' suffix applied, e.g. localChannelProtocol, and is loaded via the classpath.  Redis and Local will not be the only options, other implementations will be provided in the future, e.g. Rabbit, and the user may be able to provide their own implementations of these infrastructure classes (an advanced task).  ""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-182","06/03/2013 14:09:02",3,"Create redisProtocol.xml that will load all the Redis specific implementations to suppor the XD container runtime and administration ""The redis specific beans that are defined in the current launcher.xml should move into this configuration file.   ""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-185","06/03/2013 15:27:19",2,"Refactor StreamServer to an interface and create Redis and Local implementations ""The current StreamServer depends on RedisStreamDeployer. Call this RedisStreamServer and extract interface to allow alternate implementations""","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-186","06/03/2013 15:31:02",2,"Create a pipe protocol independent StreamDeployer ""Create StreamDeployer that does not depend on an adapter implementation""","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-187","06/03/2013 18:32:06",2,"Create XD script for xd-single node ""This script will launch XD admin along with the module container.  As part of this implementation, we will also remove the embedded options for XD admin & container scripts.""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-190","06/04/2013 05:14:13",1,"Cleanup embedded container story ""The --embeddedX options are a bit confusing in code right now, as the Admin can embed the Container and vice-versa. I guess we should only keep the Admin>Container side of things.""","",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-192","06/04/2013 20:18:57",2,"Update getting started documentation to use xd-singlenode start script. ""With the new option of starting without requiring redis, the getting started documentation should reflect this easier way to start processing data.""","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"XD-193","06/05/2013 05:55:48",3,"Need more unique resource locations for XD internal configuration ""Currently internal config files are in META-INF/spring with fairly generic names. To avoid potential collisions if users add their own configuration in the classpath, we should have a more unique location, e.g. META-INF/spring/xd""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
