"issuekey","created","storypoint","context","codesnippet","t_Bug","t_New.Feature","t_Story","t_Epic","t_Improvement","t_Technical.task","t_Sub.task","c_APIDoc","c_Guides","c_Tooling","c_Cloud","c_360","c_Stratus"
"TIDOC-860","10/18/2012 23:42:48",8,"Content Assist: Global: console, JSON, and some String methods do not appear in content assist Content Assist does not contain entries for Global.console, Global.JSON, and some Global.String methods.    API Documentation: http://docs.appcelerator.com/titanium/3.0/index.html#!/api/Global    These entries appear to exist in api.jsca.    3.0.0.v20121018140140.api.jsca excerpt:        Steps to Reproduce:    1. Open app.js.  2. Activate Content Assist.  3. Type in 'console', 'JSON', or 'String.format'.    Actual Result:    Entries do not exist.    Expected Result:    Entries should exist. They do exist at runtime and the documentation. This could be an api.jsca formatting issue, or a Studio Content Assist issue.","   {              ""name"": ""Global.console"",               ""description"": ""<p>Console logging facilities.</p>"",               ""userAgents"": [                  {                      ""platform"": ""android""                  },                   {                      ""platform"": ""iphone""                  },                   {                      ""platform"": ""ipad""                  },                   {                      ""platform"": ""mobileweb""                  }              ],               ""examples"": [],               ""remarks"": [                  ""<p>The toplevel <code>console</code> support is intended to supplement Titanium.API\nand make it easier for developers to port existing javascript code\n(especially CommonJS modules) to Titanium.</p>\n<p>Note that <code>console</code> does not currently implement the complete\n<a href=\""http://getfirebug.com/wiki/index.php/Console_API\"">firebug specification</a>.\nOur support is roughly equivalent to that offered by\n<a href=\""http://nodejs.org/api/stdio.html\"">node.js's console</a>.</p>""              ],               ""properties"": [],               ""functions"": [                  {                      ""name"": ""debug"",                       ""isInternal"": false,                       ""parameters"": [                          {                              ""name"": ""message"",                               ""usage"": ""required"",                               ""type"": ""Object"",                               ""description"": ""<p>The message(s) to log.</p>""                          }                      ],                       ""userAgents"": [                          {                              ""platform"": ""android""                          },                           {                              ""platform"": ""iphone""                          },                           {                              ""platform"": ""ipad""                          },                           {                              ""platform"": ""mobileweb""                          }                      ],                       ""since"": [                          {                              ""name"": ""Titanium Mobile SDK - Android"",                               ""version"": ""2.1.0""                          },                           {                              ""name"": ""Titanium Mobile SDK - iPhone"",                               ""version"": ""2.1.0""                          },                           {                              ""name"": ""Titanium Mobile SDK - iPad"",                               ""version"": ""2.1.0""                          },                           {                              ""name"": ""Titanium Mobile SDK - Mobile Web"",                               ""version"": ""2.1.0""                          }                      ],                       ""isConstructor"": false,                       ""isClassProperty"": false,                       ""examples"": [],                       ""deprecated"": false,                       ""exceptions"": [],                       ""references"": [],                       ""isMethod"": true,                       ""isInstanceProperty"": true,                       ""description"": ""<p>Log a message at the <code>debug</code> level.</p>""                  },                   {                      ""name"": ""error"",                       ""isInternal"": false,                       ""parameters"": [                          {                              ""name"": ""message"",                               ""usage"": ""required"",                               ""type"": ""Object"",                               ""description"": ""<p>The message(s) to log.</p>""                          }                      ],                       ""userAgents"": [                          {                              ""platform"": ""android""                          },                           {                              ""platform"": ""iphone""                          },                           {                              ""platform"": ""ipad""                          },                           {                              ""platform"": ""mobileweb""                          }                      ],                       ""since"": [                          {                              ""name"": ""Titanium Mobile SDK - Android"",                               ""version"": ""2.1.0""                          },                           {                              ""name"": ""Titanium Mobile SDK - iPhone"",                               ""version"": ""2.1.0""                          },                           {                              ""name"": ""Titanium Mobile SDK - iPad"",                               ""version"": ""2.1.0""                          },                           {                              ""name"": ""Titanium Mobile SDK - Mobile Web"",                               ""version"": ""2.1.0""                          }                      ],                       ""isConstructor"": false,                       ""isClassProperty"": false,                       ""examples"": [],                       ""deprecated"": false,                       ""exceptions"": [],                       ""references"": [],                       ""isMethod"": true,                       ""isInstanceProperty"": true,                       ""description"": ""<p>Log a message at the <code>error</code> level.</p>""                  },                   {                      ""name"": ""info"",                       ""isInternal"": false,                       ""parameters"": [                          {                              ""name"": ""message"",                               ""usage"": ""required"",                               ""type"": ""Object"",                               ""description"": ""<p>The message(s) to log.</p>""                          }                      ],                       ""userAgents"": [                          {                              ""platform"": ""android""                          },                           {                              ""platform"": ""iphone""                          },                           {                              ""platform"": ""ipad""                          },                           {                              ""platform"": ""mobileweb""                          }                      ],                       ""since"": [                          {                              ""name"": ""Titanium Mobile SDK - Android"",                               ""version"": ""2.1.0""                          },                           {                              ""name"": ""Titanium Mobile SDK - iPhone"",                               ""version"": ""2.1.0""                          },                           {                              ""name"": ""Titanium Mobile SDK - iPad"",                               ""version"": ""2.1.0""                          },                           {                              ""name"": ""Titanium Mobile SDK - Mobile Web"",                               ""version"": ""2.1.0""                          }                      ],                       ""isConstructor"": false,                       ""isClassProperty"": false,                       ""examples"": [],                       ""deprecated"": false,                       ""exceptions"": [],                       ""references"": [],                       ""isMethod"": true,                       ""isInstanceProperty"": true,                       ""description"": ""<p>Log a message at the <code>info</code> level.</p>""                  },                   {                      ""name"": ""log"",                       ""isInternal"": false,                       ""parameters"": [                          {                              ""name"": ""message"",                               ""usage"": ""required"",                               ""type"": ""Object"",                               ""description"": ""<p>The message(s) to log.</p>""                          }                      ],                       ""userAgents"": [                          {                              ""platform"": ""android""                          },                           {                              ""platform"": ""iphone""                          },                           {                              ""platform"": ""ipad""                          },                           {                              ""platform"": ""mobileweb""                          }                      ],                       ""since"": [                          {                              ""name"": ""Titanium Mobile SDK - Android"",                               ""version"": ""2.1.0""                          },                           {                              ""name"": ""Titanium Mobile SDK - iPhone"",                               ""version"": ""2.1.0""                          },                           {                              ""name"": ""Titanium Mobile SDK - iPad"",                               ""version"": ""2.1.0""                          },                           {                              ""name"": ""Titanium Mobile SDK - Mobile Web"",                               ""version"": ""2.1.0""                          }                      ],                       ""isConstructor"": false,                       ""isClassProperty"": false,                       ""examples"": [],                       ""deprecated"": false,                       ""exceptions"": [],                       ""references"": [],                       ""isMethod"": true,                       ""isInstanceProperty"": true,                       ""description"": ""<p>Log a message at the <code>info</code> level.</p>""                  },                   {                      ""name"": ""warn"",                       ""isInternal"": false,                       ""parameters"": [                          {                              ""name"": ""message"",                               ""usage"": ""required"",                               ""type"": ""Object"",                               ""description"": ""<p>The message(s) to log.</p>""                          }                      ],                       ""userAgents"": [                          {                              ""platform"": ""android""                          },                           {                              ""platform"": ""iphone""                          },                           {                              ""platform"": ""ipad""                          },                           {                              ""platform"": ""mobileweb""                          }                      ],                       ""since"": [                          {                              ""name"": ""Titanium Mobile SDK - Android"",                               ""version"": ""2.1.0""                          },                           {                              ""name"": ""Titanium Mobile SDK - iPhone"",                               ""version"": ""2.1.0""                          },                           {                              ""name"": ""Titanium Mobile SDK - iPad"",                               ""version"": ""2.1.0""                          },                           {                              ""name"": ""Titanium Mobile SDK - Mobile Web"",                               ""version"": ""2.1.0""                          }                      ],                       ""isConstructor"": false,                       ""isClassProperty"": false,                       ""examples"": [],                       ""deprecated"": false,                       ""exceptions"": [],                       ""references"": [],                       ""isMethod"": true,                       ""isInstanceProperty"": true,                       ""description"": ""<p>Log a message at the <code>warn</code> level.</p>""                  }              ],               ""deprecated"": false,               ""since"": [                  {                      ""name"": ""Titanium Mobile SDK - Android"",                       ""version"": ""2.1.0""                  },                   {                      ""name"": ""Titanium Mobile SDK - iPhone"",                       ""version"": ""2.1.0""                  },                   {                      ""name"": ""Titanium Mobile SDK - iPad"",                       ""version"": ""2.1.0""                  },                   {                      ""name"": ""Titanium Mobile SDK - Mobile Web"",                       ""version"": ""2.1.0""                  }              ],               ""isInternal"": true,               ""events"": []          },  ",1,0,0,0,0,0,0,0,0,1,0,0,0
"TIDOC-886","11/08/2012 23:10:35",1,"Documentation Needed for Ti.Media.cameraFlashMode There is no documentation available for flash modes of camera (Ti.Media.cameraFlashMod) but there is an example for this on KitchenSink.   Kitchen Sink Git link:  https://github.com/appcelerator/KitchenSink/blob/master/Resources/ui/handheld/ios/phone/camera_video.js","",1,0,0,0,0,0,0,1,0,0,0,0,0
"TIDOC-1076","01/08/2013 22:32:08",5,"Add update method document for status, checkin. status, checkin has implemented update method, we need to add update method reference in website.","",1,0,0,0,0,0,0,0,0,0,1,0,0
"TIDOC-1023","02/06/2013 19:25:15",8,"DocTools: Add full-text search integration for JSDuck Add search controller/view for JSDuck to integrate with our SOLR search engine.","",0,1,0,0,0,0,0,0,0,1,0,0,0
"TIDOC-1043","02/26/2013 18:27:08",1,"TableView: touchstart event - Missing Android platform logo In TableView docs (http://docs.appcelerator.com/titanium/latest/#!/api/Titanium.UI.TableView-event-touchstart), the *touchstart* event describes its usage on the Android platform.     However, the doc is missing the Android platform logo (see attachment).","",1,0,0,0,0,0,0,1,0,0,0,0,0
"TIDOC-1052","03/11/2013 17:23:40",13,"DocTools, Cloud: Add ""admin-required"" flag Cloud docs should have an admin-only flag for parameters and methods.","",0,1,0,0,0,0,0,0,0,1,1,0,0
"TIDOC-1059","03/13/2013 23:31:31",13,"DocTools: Create downloadable version of docs The process itself is pretty simple--we can post-process the JSDuck output to create a downloadable version of the docs that uses an index.html instead of index.php so users can access it from a local drive.    However, to make this scalable, we should incorporate it into the tools so that we can build this without a lot of added effort.","",0,0,1,0,0,0,0,0,0,1,0,0,0
"TIDOC-1695","04/12/2013 19:44:22",1,"Android: Picker - On Android, if you set a backgroundColor for Picker, then picker exhibits abnormal behavior *Details:* On Android, if you set a backgroundColor for Picker (*not supported*), then picker exhibits abnormal behavior.    *This is not a regression.*    *Steps to reproduce:*  1. Install the following app.js code to an Android device:      2. Click on the different rows     *Actual:* Abnormal behavior is shown (e.g text bleeding to other rows, black artifacts in the row). See attachments.    *Expected:* An error should be thrown since backgroundColor is not supported for Picker","  Ti.UI.backgroundColor = 'white';  var win = Ti.UI.createWindow({    exitOnClose: true,    layout: 'vertical',    backgroundColor:'red'  });    var picker = Ti.UI.createPicker({    top:50,    color:'green',    backgroundColor:'white' // why???  });    var data = [];  data[0]=Ti.UI.createPickerRow({title:'Bananas'});  data[1]=Ti.UI.createPickerRow({title:'Strawberries'});  data[2]=Ti.UI.createPickerRow({title:'Mangos'});  data[3]=Ti.UI.createPickerRow({title:'Grapes'});    picker.add(data);  picker.selectionIndicator = true;    win.add(picker);  win.open();    // must be after picker has been displayed  picker.setSelectedRow(0, 2, false); // select Mangos  ",1,0,0,0,0,0,0,1,0,0,0,0,0
"TIDOC-1130","04/29/2013 20:04:48",3,"Need Node.ACS training doc Please see ticket CLOUDSRV-2357. Developers have a hard time to write code using node.acs due to lack of training docs.","",1,0,0,0,0,0,0,1,0,0,0,0,0
"TIDOC-1190","07/02/2013 22:43:05",1,"Missing semi-colon in Ti.UI.Animation docs example See attached pic for missing semi-color in this line:        Additionally, copying and pasting this code will not work (even with the added semi-colon) where as most examples in the documentation will be run on copy and paste into app.js.    Here is the correct code that will run if simply pasted into an app.js:    ","  var matrix = Ti.UI.create2DMatrix()    var win = Ti.UI.createWindow({   backgroundColor: 'white'  });    var box = Ti.UI.createView({    backgroundColor : 'red',    height : '100',    width : '100'  });  win.add(box);    box.addEventListener('click', function() {    var matrix = Ti.UI.create2DMatrix();    matrix = matrix.rotate(180);    matrix = matrix.scale(2, 2);    var a = Ti.UI.createAnimation({      transform : matrix,      duration : 2000,      autoreverse : true,      repeat : 3    });    box.animate(a);  });    win.open();  ",1,0,0,0,0,0,0,1,0,0,0,0,0
"TIDOC-1221","08/04/2013 22:56:27",1,"Docs: getCurrentCountry() works on iOS *Problem*  The docs are wrong about getCurrentCountry() because it does work on iOS, but the platform isn't listed:    http://docs.appcelerator.com/titanium/latest/#!/api/Titanium.Locale-method-getCurrentCountry    *Test case*      *Log*  ","   var win = Ti.UI.createWindow();    console.log(Ti.Locale.getCurrentCountry());    win.open();    [INFO] :   GB  ",0,0,1,0,0,0,0,1,0,0,0,0,0
"TIDOC-1227","08/08/2013 14:57:00",0,"Filter API docs by Platform When searching through the API, there are times when it would be really handy to be able to focus on a particular platform - say Blackberry. What APIs are available, what methods etc.    Would be great if we could filter by a specific platform and only show APIs that are availble to that platform.    ","",0,1,0,0,0,0,0,0,0,1,0,0,0
"TIDOC-1241","08/24/2013 00:06:22",3,"add default httpclient timeouts for various platforms Some of the node.acs developers are having issues with the very low default http client timeout on Ti sdk. their node.acs app api call is about 7 seconds and it times out on ti app.     It took them a while to find out where the timeout is set    https://wiki.appcelerator.org/display/guides2/HTTPClient+and+the+Request+Lifecycle","",0,1,0,0,0,0,0,1,0,0,0,0,0
"TIDOC-1284","09/27/2013 01:13:04",3,"iOS7: Button background color and style has changed  iOS7: Button background color and style has changed.    Affects Titanium UI Button    In iOS6, the button has a white background which cannot be changed.    The button background color only affects the corners.    In iOS7, the button white background with rounded corners is now gone.    This is on-par with the Android implementation.    This is a problem for code written for iOS6 because this will cause an unintended change in button appearance. See screenshot 'ios7-uniform-colors' to see the button disappear due to contrast issues.    Test Steps:    1. Run either of these sample codes on iOS6 and iOS7.            Result:    Notice the profound difference in appearance. See screenshots.    Expected Result:    iOS7 retains the white button background with rounded corners to maintain style consistency.    The workaround is to check the ios version for every a button in the code:    ","  var win = Ti.UI.createWindow({   backgroundColor : 'navy',  });    var button = Ti.UI.createButton({   title : 'Button',   backgroundColor : 'navy',   color : 'navy'  });    win.add(button);    win.open();    var win = Ti.UI.createWindow({   backgroundColor : 'navy',  });    var button = Ti.UI.createButton({   title : 'Button',   backgroundColor : 'green',   color : 'black'  });    win.add(button);    win.open();     var os = Ti.Platform.osname;  var ios = Ti.Platform.version.split('.')[0];    console.log(ios);    switch(os) {   case 'iphone' :   case 'ipad' :    if(ios < 7)     buttonColor = winColor;    break;  }  ",0,1,0,0,0,0,0,1,0,0,0,0,0
"TIDOC-1300","10/08/2013 19:38:06",5,"Cloud: Missing query method for ACL, KeyValue and Message objects /v1/acls/query.json  /v1/keyvalues/query.json  /v1/messages/query.json  ","",1,0,0,0,0,0,0,0,0,0,1,0,0
"TIDOC-1339","10/31/2013 01:16:32",8,"Update Push Notifications guide for iOS using XCode After follow the tutorial to implement the native client library for iOS a few improvements can be done in order to update and make easier for the developer to implement push notifications to ACS.    Link to the tutorial: http://docs.appcelerator.com/cloud/latest/#!/guide/ios    Attached are 3 images with suggestions.    Apart from that, getting new screenshots from XCode 5 would be a good idea to keep up to date this docs. ","",0,0,1,0,0,0,0,0,0,0,1,0,0
"TIDOC-1425","12/21/2013 00:00:30",1,"Incorrect information for Ti.TextArea, Ti.Label autolink property Autolink makes reference to Ti.UI.AUTOLINK_XXX constants for dictating what kind of elements you want to detect. However the references do not appropriately relay this information.    the example references     AUTOLINK_MAP_ADDRESSES|AUTOLINK_PHONE_NUMBERS;     the correct usage would be    Ti.UI.AUTOLINK_MAP_ADDRESSES|Ti.UI.AUTOLINK_PHONE_NUMBERS;    Additionally, for the autolink functionality to work for either TextAreas or Labels - they must not be editable. The editable property MUST be set to false. This is not documented.    Links:  http://docs.appcelerator.com/titanium/latest/#!/api/Titanium.UI.TextArea-property-autoLink    http://docs.appcelerator.com/titanium/latest/#!/api/Titanium.UI.Label-property-autoLink    http://docs.appcelerator.com/titanium/latest/#!/api/Titanium.UI.TextField-property-autoLink    ","",1,0,0,0,0,0,0,1,0,0,0,0,0
"TIDOC-1429","12/30/2013 22:53:49",1,"New Mobile Project in Creating your first titanium  h4. Problem Description  Currently the guide says:    ""To create a new Alloy project:    In Studio, select File > New Mobile Web Project.""    it should say:    ""To create a new Alloy project:    In Studio, select File > New Mobile Project.""    h4. Extra info    Related URL: http://docs.appcelerator.com/titanium/latest/#!/guide/Creating_Your_First_Titanium_Apps  ","",1,0,0,0,0,0,0,0,1,0,0,0,0
"TIDOC-1481","01/18/2014 02:12:58",1,"Documentation: Enterprise feature restriction not immediately apparent when opening page I searched for ""titanium code profiler"" in Google which led me straight to this page: http://docs.appcelerator.com/platform/latest/#!/guide/Code_Profiler    The fact that it is an Enterprise feature is not shown anywhere on the page part from the navigation menu on the left which led to some time wasted trying to get it to work on my non-enterprise setup.    Suggestion: Add a message at the top of the page informing the user that this is an Enterprise feature and if they would like to use it they should click this link to view more information.  Link should go to the Enterprise pricing page.    ","",1,0,0,0,0,0,0,0,1,0,0,0,0
"TIDOC-1497","01/24/2014 13:37:16",1,"Installation and Configuration Guide: incorrect step for ""Creating Your First Titanium App"" There is a mistake in the code sample on page 'Creating_Your_First_Titanium_App' section 'To update the controller code for platform differences:'    function showBook() {    should be:    function showBook(event) {","",1,0,0,0,0,0,0,0,1,0,0,0,0
"TIDOC-1515","02/05/2014 19:59:57",13,"Add screenshots of controls to Ti.UI API descriptions Where appropriate/useful, the Ti.UI API descriptions should include a screenshot of the control (for example. http://docs.appcelerator.com/titanium/latest/#!/api/Titanium.UI.iPad.SplitWindow)      ","",0,0,1,0,0,0,0,1,0,0,0,0,0
"TIDOC-1518","02/06/2014 15:17:13",2,"ACS Event Documentation In the documentation for Event Create, the field 'tags' is listed twice, it should only be listed once. There is also a field  called 'user' which doesn't appear on any other objects (look at place and file for example) and should either be removed, or added to other objects that support the 'user' field. http://docs.appcelerator.com/cloud/latest/#!/api/Events-method-create    In the documentation for Event Query, the field 'tags' is not listed for query-able fields, but it is for all other objects that has the 'tags' field. I think it needs to be added here. http://docs.appcelerator.com/cloud/latest/#!/api/Events-method-query  ","",0,0,1,0,0,0,0,1,0,0,1,0,0
"TIDOC-1524","02/07/2014 22:10:15",3,"Allow ""local"" images in Titanium API documentation Adding images to Titanium API docs currently requires linking to externally hosted files. Need to add a build step that copies local image folder to distribution folder.","",0,0,0,0,1,0,0,0,0,1,0,0,0
"TIDOC-1525","02/08/2014 22:46:17",2,"ACS Status Object create method docs need updated In the cloud documentation for creating a status, there are no required fields listed. After testing out the API with a few different options I found that 'user_id' and 'message' are required. The documentation needs updated to reflect that.","",1,0,0,0,0,0,0,1,0,0,1,0,0
"TIDOC-1536","02/14/2014 16:44:31",2,"ACS Create Review Documentation has two 'user_id' fields In the documentation for creating an ACS review, it lists two 'user_id' fields. One of them is to identify the user who is making the review, the other one is referencing the user who is being reviewed.    It needs to be updated to reflect the proper fields for each of those as you can't have the same field name apply to two different attributes.    CC [~wkong] [~plee]","",0,0,0,0,1,0,0,0,0,0,1,0,0
"TIDOC-1566","02/25/2014 16:32:11",0,"$inc syntax will be changed, need to change the description After fixing https://jira.appcelerator.org/browse/CLOUDSRV-3201, we will change syntax for $inc operator.    Before fixing CLOUDSRV-3201, we use $inc without quotes:  curl -s -X PUT -F 'id=52e94c2a08a3e70b3d0b9293' -F 'fields={""runs"":{$inc:5},""test"":""changed""}' ""http://api.cloud.appcelerator.com/v1/objects/suite/update.js?key=H6Ke9ZNa8sbyxP9mmTP8iZcQzZiUwwmc&_session_id=mcmY3kcbc11pG_iIRwqxizG5g5g""    After fixing CLOUDSRV-3201, we use $inc with quotes:  curl -s -X PUT -F 'id=52e94c2a08a3e70b3d0b9293' -F 'fields={""runs"":{""$inc"":5},""test"":""changed""}' ""http://api.cloud.appcelerator.com/v1/objects/suite/update.json?key=H6Ke9ZNa8sbyxP9mmTP8iZcQzZiUwwmc&_session_id=mcmY3kcbc11pG_iIRwqxizG5g5g""    we need to change the description for $inc operator in API document at http://docs.appcelerator.com/cloud/latest/#!/guide/atomic_increment","",0,0,0,0,1,0,0,1,0,0,0,0,0
"TIDOC-1571","02/26/2014 18:01:10",3,"Cloud: Checkins.update method missing http://docs.appcelerator.com/cloud/latest/#!/api/Checkins needs update method.","",1,0,0,0,0,0,0,0,0,0,1,0,0
