"issuekey","created","storypoint","context","codesnippet","t_Bug","t_Story","t_Improvement","t_Epic","t_Technical.task","c_PyDev","c_Terminal","c_Editor","c_Project.Explorer","c_Content.Assist","c_Usability","c_PHP","c_JS","c_Ruby","c_Publishing","c_Build","c_Validation","c_App.Explorer","c_Source.Control","c_Debugging","c_Update","c_Testing","c_Outline","c_CSS","c_HTML","c_Colorization","c_Preview","c_Navigation","c_File","c_Scripting","c_Documentation","c_Formatting","c_Installer","c_XML","c_Indexing","c_Folding","c_Project","c_Theme","c_Hover","c_Performance","c_Servers","c_Parsing","c_Samples","c_JS.Libraries","c_Analytics","c_CoffeeScript","c_Templates"
"APSTUD-2798","06/24/2011 08:19:38",1,"Add ""Deploy"" Menu-Entry to ""Merge Results"" Context Menu When using Subclipse to merge some revisions, there's a view ""Merge Results"" where the merged files are listed. With Aptana 2.x it was possible to Upload the files directly from that view using the ftp connections.     In Aptana 3.x there's no menu entry to upload the files from that view: You have to search each of the merged files or directories in the Project Explorer (or App Explorer) and upload it there.    *There should be the ""Deploy"" Menu Entry in the context menu of the ""Merge Results""-View.*","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-2811","06/27/2011 17:57:11",8,"""Automatically sync my changes with the remote site"" only syncs one way In the deployment settings, ""Automatically sync my changes with the remote site"" is selected, and ""automatically sync in both directions"" is chosen. Opening a file on the remote connection, making a change and saving the file does not initiate a sync with the local copy of the file. The local copy remains unchanged. (Opening a file locally and saving does initiate a sync and updates the remote copy as expected.)","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-2853","06/30/2011 21:11:38",1,"Create wrapper for InstanceScope() and DefaultScope() in code InstanceScope() and DefaultScope() constructors have been deprecated in Eclipse 3.7. However, the replacement methods (InstanceScope.INSTANCE) is only available in Eclipse 3.7, so we cannot universally switch to it yet. Adding @SuppressWarnings(""deprecation"") to all usages is problematic, since it will display ""Unused annotation"" in Eclipse 3.6    Suggest making wrapper methods for the above items and adding a single @SuppressWarnings to those instances. Thus, we only have two warnings in the problems view rather than the hundred or so we have now.","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-2902","07/06/2011 02:42:12",5,"PHP chaining code hinting  using classes with chain desing pattern code hinting breakes when function in chain has parameter.    For example in Doctrine_Query class:    {{$q = Doctrine_Query::create();}}  {{$q->from()->select(); //list of available function is displayed}}    {{$q = Doctrine_Query::create();}}  {{$q->from('modelName')-> //no code hinting}}  ","",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-2916","07/06/2011 15:13:39",0,"Add ""Submit a Bug"" feature to Aptana Studio Help menu This would crib from the previous implementation we had for Aptana Studio some years ago:    # User needs to set up their JIRA account. There should be a preference area for that  # When filing a bug, ask them the following:    # A summary of the issue (mandatory)  # Steps to reproduce the problem (mandatory)  # Include log file, current platform configuration and any other log items  # If possible, properly assign component and scope to the item in question (should be part of the method call instantiating this dialog)  # Allow them to attach a screenshot    The same item would be available from the file menu, though some of these things would not be filled out (i.e. component, scope).    This would use the JIRA API to submit the bug (http://confluence.atlassian.com/display/JIRA/JIRA+RPC+Services)  ","",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-2944","07/11/2011 01:12:35",0,"Not including user defined variables and functions in JS content assist Variables and functions defined by user are not shown in code assist. They are also not displayed in outline.    Steps to recreate problem:  1. create blank js file  2. open it with JavaScript Source Editor  3. Paste following sample code:    4. on empty line after function, invoke content assist by pressing ctrl + space    Only items from JS core are displayed. There are no items from current file. Attached file shows displayed content assist. ""foo"" should be one of the proposals, but is not.    ","  function foo() {      var eight = 8;  }    ",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-2952","07/11/2011 15:26:48",0,"Implement a new JavaScript validation framework We have multiple different validators for JS. They are inefficient, out of date, and nearly unmaintainable.    Propose creating an infrastructure to replace this with a single way of defining rules.    Brief requirements:    # Should encapsulate these rules (http://jshint.com/)  # It should allow for style/usage validation for things like Titanium Mobile projects. This kind of validation might only happen in JS files in Titanium Mobile projects  # It should allow for cross-file validation.    Ideally, those rules exist in some form that can be modified and converted into our new format.","",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-2983","07/14/2011 09:07:03",8,"App Explorer constantly refreshing/resorting contents on Git-bound projects Steps to reproduce:    # Check out a project from git (Suggest using https://github.com/aptana/html.ruble, File > Import > Git Repository)  # Switch to using App Explorer  # Expand templates folder  # Edit 1_1.xhtml. Save  # Note order of files/folders reshuffles. This will repeat with each new file edited.    See before/after screen shorts below.","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-2999","07/17/2011 17:17:21",1,"Can't set breakpoint in haml (ruby) templates Editor does not allow setting of ruby breakpoints in haml view templates on lines with ruby code (starting with = and -)    These ruby code lines should be breakpointable just like in erb templates.    If there is a workaround, please describe in detail.    Thanks,  tv/","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-3053","07/21/2011 14:05:08",8,"Support for Mac OS X Lion Full Screen View Mac OS X Lion has a full screen feature for a lot of native apps. It would be great for Aptana to have a feature like this.","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-3100","07/27/2011 15:10:05",1,"Create FindBugs Profile appropriate for validating code correctness The default FindBugs profile is too strict for our current code base. We need to create a more limited profile that we can use to validate all committed code for possible errors. Please create a profile, run it against some of our current source code to see if it reports what is expected, and pass it around to the other developers for confirmation.","",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-3130","07/30/2011 07:17:29",20,"Upgrade Unit Test Coverage Our current unit test coverage hovers around 30% (class, method, block, and line) We need to get this higher.    Here are the classes we need to test: Please create a sub-task for the class you want to test, and edit the document to indicate you've claimed that test. If there already is a task created for a particular class, it means someone else has claimed that one, so choose another. If there are a bunch of related classes, you can group that into one task.    Coverage goals for all classes below is a _minimum_ of 100% class, 70% method, 80% block, 80% line (default Emma values in Jenkins)    * com.aptana.core.util   ** KeepAliveObjectPool  ** ObjectPool  ** ReapingObjectPool  ** StreamUtil  ** URIUtil","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-3149","08/01/2011 15:13:44",1,"Convert cygwin paths to Windows paths in ENV when executing process outside Terminal (console/process/ProcessBuilder) We ran into an issue with PATH holding cygwin paths on Windows breaking git clones. I added a method to convert between the two, but we need to make sure we convert anywhere we're not executing inside the Terminal/bash.","",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-3189","08/03/2011 08:42:26",1,"Support Javascript go to definition hyperlinks This comes from trying to close APSTUD-46, which must have been a Studio 2.x ticket.    We should support Ctrl+Clicking to go to definition for Javascript functions, variables, properties.","",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-3327","08/17/2011 11:44:56",0,"Word Wrap shows keybinding conflict when used as plugin in Eclipse for Java EE When installing Aptana 3.0.4 as a plugin in Eclipse for Java EE there are conflicts between Aptana and Eclipse plugins regarding keyboard bindings.  The following conflicts appear for Java EE plugins:        And these additional conflicts appear for the Eclipse Subversive plugin:        Full log messages below:    ","  ALT+SHIFT+D R,   org.eclipse.wst.server.launchShortcut.debug   com.aptana.ruby.debug.ui.RubyShortcut.debug  ALT+SHIFT+X R,   org.eclipse.wst.server.launchShortcut.run   com.aptana.ruby.debug.ui.RubyShortcut.run  CTRL+SHIFT+D,   org.eclipse.jdt.debug.ui.commands.Display   com.aptana.ide.syncing.ui.commands.download   org.radrails.rails.ui.command.debug.server  CTRL+SHIFT+U,   org.eclipse.jdt.ui.edit.text.java.search.occurrences.in.file.quickMenu   com.aptana.ide.syncing.ui.commands.upload  CTRL+SHIFT+R,   org.eclipse.ui.navigate.openResource   com.aptana.editor.toggleWordWrapCommand    ALT+CTRL+D,   org.eclipse.team.svn.ui.command.UpdateToRevisionCommand   com.aptana.deploy.commands.deployApp  ALT+CTRL+R,   org.eclipse.team.svn.ui.command.CompareWithRevisionCommand   org.python.pydev.debug.setnext    !ENTRY org.eclipse.jface 2 0 2011-08-17 17:11:02.486  !MESSAGE Keybinding conflicts occurred.  They may interfere with normal accelerator operation.  !SUBENTRY 1 org.eclipse.jface 2 0 2011-08-17 17:11:02.486  !MESSAGE A conflict occurred for ALT+SHIFT+D R:  Binding(ALT+SHIFT+D R,   ParameterizedCommand(Command(org.eclipse.wst.server.launchShortcut.debug,Debug on Server,    Debug the current selection on a server,    Category(org.eclipse.debug.ui.category.run,Run/Debug,Run/Debug command category,true),    ,    ,,true),null),   org.eclipse.ui.defaultAcceleratorConfiguration,   org.eclipse.ui.contexts.window,,,system)  Binding(ALT+SHIFT+D R,   ParameterizedCommand(Command(com.aptana.ruby.debug.ui.RubyShortcut.debug,Debug Ruby Application,    Debug Ruby Application,    Category(org.eclipse.debug.ui.category.run,Run/Debug,Run/Debug command category,true),    ,    ,,true),null),   org.eclipse.ui.defaultAcceleratorConfiguration,   org.eclipse.ui.contexts.window,,,system)  !SUBENTRY 1 org.eclipse.jface 2 0 2011-08-17 17:11:02.486  !MESSAGE A conflict occurred for ALT+SHIFT+X R:  Binding(ALT+SHIFT+X R,   ParameterizedCommand(Command(org.eclipse.wst.server.launchShortcut.run,Run on Server,    Run the current selection on a server,    Category(org.eclipse.debug.ui.category.run,Run/Debug,Run/Debug command category,true),    ,    ,,true),null),   org.eclipse.ui.defaultAcceleratorConfiguration,   org.eclipse.ui.contexts.window,,,system)  Binding(ALT+SHIFT+X R,   ParameterizedCommand(Command(com.aptana.ruby.debug.ui.RubyShortcut.run,Run Ruby Application,    Run Ruby Application,    Category(org.eclipse.debug.ui.category.run,Run/Debug,Run/Debug command category,true),    ,    ,,true),null),   org.eclipse.ui.defaultAcceleratorConfiguration,   org.eclipse.ui.contexts.window,,,system)  !SUBENTRY 1 org.eclipse.jface 2 0 2011-08-17 17:11:02.486  !MESSAGE A conflict occurred for ALT+CTRL+D:  Binding(ALT+CTRL+D,   ParameterizedCommand(Command(org.eclipse.team.svn.ui.command.UpdateToRevisionCommand,Update to Revision,    ,    Category(org.eclipse.team.svn.ui.command.category,SVN,null,true),    ,    ,,true),null),   org.eclipse.ui.defaultAcceleratorConfiguration,   org.eclipse.ui.contexts.window,,,system)  Binding(ALT+CTRL+D,   ParameterizedCommand(Command(com.aptana.deploy.commands.deployApp,Deploy App,    ,    Category(org.eclipse.core.commands.categories.autogenerated,Uncategorized,Commands that were either auto-generated or have no category,true),    com.aptana.deploy.internal.handlers.DeployHandler,    ,,true),null),   org.eclipse.ui.defaultAcceleratorConfiguration,   org.eclipse.ui.contexts.window,,,system)  !SUBENTRY 1 org.eclipse.jface 2 0 2011-08-17 17:11:02.486  !MESSAGE A conflict occurred for CTRL+SHIFT+D:  Binding(CTRL+SHIFT+D,   ParameterizedCommand(Command(org.eclipse.jdt.debug.ui.commands.Display,Display,    Display result of evaluating selected text,    Category(org.eclipse.debug.ui.category.run,Run/Debug,Run/Debug command category,true),    ,    ,,true),null),   org.eclipse.ui.defaultAcceleratorConfiguration,   org.eclipse.ui.contexts.dialogAndWindow,,,system)  Binding(CTRL+SHIFT+D,   ParameterizedCommand(Command(com.aptana.ide.syncing.ui.commands.download,Download...,    ,    Category(com.aptana.ide.syncing.ui.commands.category,File Transfer,File Transfer Commands,true),    com.aptana.ide.syncing.ui.handlers.DownloadHandler,    ,,true),null),   org.eclipse.ui.defaultAcceleratorConfiguration,   org.eclipse.ui.contexts.window,,,system)  Binding(CTRL+SHIFT+D,   ParameterizedCommand(Command(org.radrails.rails.ui.command.debug.server,Debug Server,    ,    Category(org.radrails.rails.ui.category,Rails,null,true),    org.radrails.rails.internal.ui.commands.DebugServerHandler,    ,,true),null),   org.eclipse.ui.defaultAcceleratorConfiguration,   org.eclipse.ui.contexts.window,,,system)  !SUBENTRY 1 org.eclipse.jface 2 0 2011-08-17 17:11:02.486  !MESSAGE A conflict occurred for ALT+CTRL+R:  Binding(ALT+CTRL+R,   ParameterizedCommand(Command(org.eclipse.team.svn.ui.command.CompareWithRevisionCommand,URL...,    ,    Category(org.eclipse.team.svn.ui.command.category,SVN,null,true),    ,    ,,true),null),   org.eclipse.ui.defaultAcceleratorConfiguration,   org.eclipse.ui.contexts.window,,,system)  Binding(ALT+CTRL+R,   ParameterizedCommand(Command(org.python.pydev.debug.setnext,Set Next Statement,    ,    Category(org.python.pydev.ui.category.run,PyDev - Run,Python run category,true),    ,    ,,true),null),   org.eclipse.ui.defaultAcceleratorConfiguration,   org.eclipse.ui.contexts.window,,,system)  !SUBENTRY 1 org.eclipse.jface 2 0 2011-08-17 17:11:02.486  !MESSAGE A conflict occurred for CTRL+SHIFT+U:  Binding(CTRL+SHIFT+U,   ParameterizedCommand(Command(org.eclipse.jdt.ui.edit.text.java.search.occurrences.in.file.quickMenu,Show Occurrences in File Quick Menu,    Shows the Occurrences in File quick menu,    Category(org.eclipse.search.ui.category.search,Search,Search command category,true),    ,    ,,true),null),   org.eclipse.ui.defaultAcceleratorConfiguration,   org.eclipse.ui.contexts.window,,,system)  Binding(CTRL+SHIFT+U,   ParameterizedCommand(Command(com.aptana.ide.syncing.ui.commands.upload,Upload...,    ,    Category(com.aptana.ide.syncing.ui.commands.category,File Transfer,File Transfer Commands,true),    com.aptana.ide.syncing.ui.handlers.UploadHandler,    ,,true),null),   org.eclipse.ui.defaultAcceleratorConfiguration,   org.eclipse.ui.contexts.window,,,system)  !SUBENTRY 1 org.eclipse.jface 2 0 2011-08-17 17:11:02.486  !MESSAGE A conflict occurred for CTRL+SHIFT+R:  Binding(CTRL+SHIFT+R,   ParameterizedCommand(Command(org.eclipse.ui.navigate.openResource,Open Resource,    Open an editor on a particular resource,    Category(org.eclipse.ui.category.navigate,Navigate,null,true),    org.eclipse.ui.internal.ide.handlers.OpenResourceHandler@12b2a18,    [Lorg.eclipse.ui.internal.commands.Parameter;@d89fb1,,true),null),   org.eclipse.ui.defaultAcceleratorConfiguration,   org.eclipse.ui.contexts.window,,,system)  Binding(CTRL+SHIFT+R,   ParameterizedCommand(Command(com.aptana.editor.toggleWordWrapCommand,Word Wrap,    ,    Category(org.eclipse.ui.category.window,Window,null,true),    com.aptana.editor.common.internal.commands.ToggleWordWrapHandler,    ,,true),null),   org.eclipse.ui.defaultAcceleratorConfiguration,   org.eclipse.ui.contexts.window,,,system)  ",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-3343","08/20/2011 13:51:13",8,"No ""Synchronize"" option in right-click menu # Create a new local project  # Create a connection to a remote server  # Right click on a file in the local project. No Synchronize option there.    It may be that ""Synchronize"" is encapsulated by ""deploy app"", though deploy to me suggests deploying from the root. Suggest we really need the Sync option for FTP/SFTP type sites.","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-3376","08/25/2011 17:05:44",5,"PHP: Add Open Type/Method PHP feature One feature that is sorely missed is Open Type in the Eclipse PHP PDT. Attached is a screenshot of the feature in Eclipse PDT.","",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
